File,Total Genes,Annotated,Predominant GO Biological Process,Predominant Gene Function,Physiological Summary
rank_15_comp7_top100.csv,100,48,"positive regulation of DNA-templated transcription [GO:0045893], regulation of transcription by RNA polymerase II [GO:0006357], nervous system development [GO:0007399]","Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha, Lutropin-choriogonadotropic hormone receptor",Genes involved in development and differentiation and signal transduction
rank_15_comp8_top100.csv,100,48,"nervous system development [GO:0007399], homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156], positive regulation of DNA-templated transcription [GO:0045893]","Hemicentin-1, E3 ubiquitin-protein ligase rnf213-alpha, Reversion-inducing cysteine-rich protein with Kazal motifs",Genes involved in development and differentiation and signal transduction
rank_15_comp9.csv,1,1,"atrial cardiac muscle cell development [GO:0055014], heart trabecula formation [GO:0060347], negative regulation of apoptotic process [GO:0043066]",Four and a half LIM domains protein 2,Genes involved in development and differentiation and gene expression regulation
rank_15_comp9_top100.csv,100,48,"positive regulation of DNA-templated transcription [GO:0045893], regulation of transcription by RNA polymerase II [GO:0006357], nervous system development [GO:0007399]","Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha, Zinc finger protein ZIC 1",Genes involved in development and differentiation and signal transduction
rank_20_comp1.csv,2953,1188,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122], regulation of transcription by RNA polymerase II [GO:0006357]","Protocadherin Fat 4, Hemicentin-1, Adhesion G-protein coupled receptor D1",Genes involved in development and differentiation and signal transduction
rank_20_comp10.csv,25,10,"signal transduction [GO:0007165], angiogenesis [GO:0001525], apoptotic process [GO:0006915]","GTP-binding protein Rit1, Thyroxine 5-deiodinase, Ribonucleoside-diphosphate reductase subunit M2",Genes involved in development and differentiation and signal transduction
rank_20_comp10_top100.csv,100,43,"regulation of transcription by RNA polymerase II [GO:0006357], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], cell differentiation [GO:0030154]","Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha, Forkhead box protein L2",Genes involved in development and differentiation and signal transduction
rank_20_comp11.csv,2,1,"bile acid secretion [GO:0032782], cellular response to bile acid [GO:1903413], lipid homeostasis [GO:0055088]",Phosphatidylcholine translocator ABCB4,Genes primarily involved in intracellular transport
rank_20_comp11_top100.csv,100,37,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122], mRNA processing [GO:0006397]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Heat shock factor protein 1, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_20_comp12.csv,31,17,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], regulation of DNA-templated transcription [GO:0006355]","Peroxidasin homolog, Ceramide kinase, Aryl hydrocarbon receptor nuclear translocator homolog",Genes involved in development and differentiation and gene expression regulation
rank_20_comp12_top100.csv,100,42,"positive regulation of transcription by RNA polymerase II [GO:0045944], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], nervous system development [GO:0007399]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Chitin synthase chs-2",Genes involved in development and differentiation and signal transduction
rank_20_comp13.csv,2,0,N/A,N/A,Unannotated genes
rank_20_comp13_top100.csv,100,37,"positive regulation of transcription by RNA polymerase II [GO:0045944], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], positive regulation of DNA-templated transcription [GO:0045893]","E3 ubiquitin-protein ligase rnf213-alpha, Fibrocystin-L, Polyadenylate-binding protein 1A",Genes involved in development and differentiation and signal transduction
rank_20_comp14_top100.csv,100,36,"positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397], negative regulation of transcription by RNA polymerase II [GO:0000122]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Transcription factor ETV6",Genes involved in development and differentiation and signal transduction
rank_20_comp15.csv,2,0,N/A,N/A,Unannotated genes
rank_20_comp15_top100.csv,100,32,"neuron differentiation [GO:0030182], positive regulation of DNA-templated transcription [GO:0045893], positive regulation of MAPK cascade [GO:0043410]","Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha, Chitin synthase chs-2",Genes involved in development and differentiation and signal transduction
rank_20_comp16.csv,3,0,N/A,N/A,Unannotated genes
rank_20_comp16_top100.csv,100,37,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], mRNA processing [GO:0006397]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Heat shock factor protein 1, Fibrocystin-L",Genes involved in development and differentiation and gene expression regulation
rank_20_comp17_top100.csv,100,33,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], mRNA processing [GO:0006397]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Heat shock factor protein 1, Chloride intracellular channel protein 2",Genes involved in development and differentiation and signal transduction
rank_20_comp18_top100.csv,100,37,"positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397], cell population proliferation [GO:0008283]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Heat shock factor protein 1, Chloride intracellular channel protein 2",Genes involved in development and differentiation and signal transduction
rank_20_comp19.csv,8,6,"negative regulation of cell population proliferation [GO:0008285], inner ear development [GO:0048839], cellular response to starvation [GO:0009267]","Protein phosphatase 1D, Homeobox protein MSX-1, Inactive tyrosine-protein kinase transmembrane receptor ROR1",Genes involved in development and differentiation and gene expression regulation
rank_20_comp19_top100.csv,100,37,"adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], G protein-coupled receptor signaling pathway [GO:0007186], cell differentiation [GO:0030154]","Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha, Forkhead box protein L2",Genes involved in development and differentiation and signal transduction
rank_20_comp1_top100.csv,100,38,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], negative regulation of transcription by RNA polymerase II [GO:0000122]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Four and a half LIM domains protein 2",Genes involved in development and differentiation and signal transduction
rank_20_comp2.csv,2,1,"GDP-D-mannose biosynthetic process from fructose-6-phosphate [GO:0061729], GDP-mannose biosynthetic process [GO:0009298], mannose to fructose-6-phosphate catabolic process [GO:0061611]",Mannose-6-phosphate isomerase,Genes primarily involved in metabolic processes
rank_20_comp20.csv,2,1,"Notch signaling pathway [GO:0007219], protein ubiquitination [GO:0016567]",Probable E3 ubiquitin-protein ligase DTX2,Genes involved in signal transduction and protein processing and degradation
rank_20_comp20_top100.csv,100,39,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of gene expression [GO:0010628]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha",Genes involved in development and differentiation and signal transduction
rank_20_comp2_top100.csv,100,45,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], negative regulation of transcription by RNA polymerase II [GO:0000122]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Chloride intracellular channel protein 2",Genes involved in development and differentiation and signal transduction
rank_20_comp3.csv,1,1,"ergothioneine biosynthetic process [GO:0052699], meiotic cell cycle [GO:0051321], methylation [GO:0032259]",Ergothioneine biosynthesis protein 1,Genes involved in metabolic processes and cell division and proliferation
rank_20_comp3_top100.csv,100,37,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of DNA-templated transcription [GO:0045893], response to bacterium [GO:0009617]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Chloride intracellular channel protein 2",Genes involved in development and differentiation and signal transduction
rank_20_comp4.csv,2,2,"angiogenesis [GO:0001525], cell differentiation [GO:0030154], negative regulation of transcription by RNA polymerase II [GO:0000122]","ETS domain-containing protein Elk-3, Roundabout homolog 1",Genes involved in development and differentiation and signal transduction
rank_20_comp4_top100.csv,100,35,"positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397], negative regulation of transcription by RNA polymerase II [GO:0000122]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Heat shock factor protein 1, Chloride intracellular channel protein 2",Genes involved in development and differentiation and signal transduction
rank_20_comp5_top100.csv,100,38,"adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], nervous system development [GO:0007399], G protein-coupled receptor signaling pathway [GO:0007186]","Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha, Kinesin-like protein KIF3B",Genes involved in development and differentiation and signal transduction
rank_20_comp6.csv,29,9,"cell population proliferation [GO:0008283], COPII-coated vesicle cargo loading [GO:0090110], digestive system development [GO:0055123]","Protein transport protein Sec31A, Ciliary microtubule associated protein 1A, Phosphatidate cytidylyltransferase, mitochondrial",Genes involved in development and differentiation and metabolic processes
rank_20_comp6_top100.csv,100,38,"positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397], negative regulation of gene expression [GO:0010629]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Chloride intracellular channel protein 2",Genes involved in development and differentiation and signal transduction
rank_20_comp7_top100.csv,100,39,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], negative regulation of transcription by RNA polymerase II [GO:0000122]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_20_comp8.csv,537,238,"cell division [GO:0051301], proteolysis [GO:0006508], cilium assembly [GO:0060271]","Glutamyl aminopeptidase, SH3 and multiple ankyrin repeat domains protein 2, GON-4-like protein",Genes involved in development and differentiation and intracellular transport
rank_20_comp8_top100.csv,100,37,"positive regulation of transcription by RNA polymerase II [GO:0045944], response to bacterium [GO:0009617], negative regulation of transcription by RNA polymerase II [GO:0000122]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Chloride intracellular channel protein 2",Genes involved in development and differentiation and signal transduction
rank_20_comp9.csv,66,28,"negative regulation of transcription by RNA polymerase II [GO:0000122], regulation of transcription by RNA polymerase II [GO:0006357], RNA splicing [GO:0008380]","Protein AF-10, Ninein-like protein, Protein Wnt-7b",Genes involved in gene expression regulation and development and differentiation
rank_20_comp9_top100.csv,100,33,"adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], cell differentiation [GO:0030154], negative regulation of DNA-templated transcription [GO:0045892]","Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha, Forkhead box protein L2",Genes involved in development and differentiation and signal transduction
rank_25_comp10_top100.csv,100,31,"negative regulation of gene expression [GO:0010629], negative regulation of translation [GO:0017148], RNA splicing [GO:0008380]","Fragile X messenger ribonucleoprotein 1 homolog, Fibrocystin-L, E3 ubiquitin-protein ligase MIB2",Genes involved in development and differentiation and signal transduction
rank_25_comp11.csv,27,18,"membraneless organelle assembly [GO:0140694], negative regulation of T cell differentiation in thymus [GO:0033085], negative regulation of transcription by RNA polymerase II [GO:0000122]","Zinc finger protein 608, Chromodomain-helicase-DNA-binding protein 1, Transmembrane protein 131",Genes involved in intracellular transport and development and differentiation
rank_25_comp11_top100.csv,100,31,"negative regulation of gene expression [GO:0010629], RNA splicing [GO:0008380], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]","Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog, Cytoplasmic aconitate hydratase",Genes involved in development and differentiation and signal transduction
rank_25_comp12_top100.csv,100,34,"innate immune response [GO:0045087], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Eukaryotic translation initiation factor 2-alpha kinase 3, E3 ubiquitin-protein ligase MIB2, Cytoplasmic aconitate hydratase",Genes involved in signal transduction and development and differentiation
rank_25_comp13.csv,9,5,"actin filament bundle assembly [GO:0051017], actin filament bundle distribution [GO:0070650], axonogenesis [GO:0007409]","Protein phosphatase 1 regulatory subunit 12A, Protein Red, Cytosolic carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_25_comp13_top100.csv,100,35,"negative regulation of gene expression [GO:0010629], RNA splicing [GO:0008380], fibroblast growth factor receptor signaling pathway [GO:0008543]","Fibrocystin-L, E3 ubiquitin-protein ligase MIB2, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp14.csv,2,1,peptidyl-tyrosine sulfation [GO:0006478],Protein-tyrosine sulfotransferase 2,Genes involved in peptidyl-tyrosine sulfation
rank_25_comp14_top100.csv,100,34,"negative regulation of gene expression [GO:0010629], cell surface receptor signaling pathway [GO:0007166], regulation of transcription by RNA polymerase II [GO:0006357]","Adhesion G-protein coupled receptor D1, Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp15.csv,1,1,N/A,ERI1 exoribonuclease 2,Unannotated genes
rank_25_comp15_top100.csv,100,39,"positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397], RNA splicing [GO:0008380]","Fragile X messenger ribonucleoprotein 1 homolog, Heat shock factor protein 1, E3 ubiquitin-protein ligase MIB2",Genes involved in development and differentiation and signal transduction
rank_25_comp16.csv,69,42,"monoatomic ion transmembrane transport [GO:0034220], cell migration [GO:0016477], negative regulation of transcription by RNA polymerase II [GO:0000122]","Peroxidasin homolog, Two pore channel protein 2, Protein PAT1 homolog 1",Genes involved in development and differentiation and intracellular transport
rank_25_comp16_top100.csv,100,36,"negative regulation of gene expression [GO:0010629], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], positive regulation of transcription by RNA polymerase II [GO:0045944]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp17.csv,39,9,"negative regulation of transcription by RNA polymerase II [GO:0000122], formation of cytoplasmic translation initiation complex [GO:0001732], cell morphogenesis [GO:0000902]","Protein furry homolog-like, Collagen alpha-1, Sequestosome-1",Genes involved in development and differentiation and intracellular transport
rank_25_comp17_top100.csv,100,32,"cell surface receptor signaling pathway [GO:0007166], negative regulation of gene expression [GO:0010629], RNA splicing [GO:0008380]","Adhesion G-protein coupled receptor D1, Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp18_top100.csv,100,40,"negative regulation of gene expression [GO:0010629], innate immune response [GO:0045087], positive regulation of DNA-templated transcription [GO:0045893]","E3 ubiquitin-protein ligase MIB2, Eukaryotic translation initiation factor 2-alpha kinase 3, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp19.csv,7,2,"autophagosome assembly [GO:0000045], protein insertion into ER membrane by stop-transfer membrane-anchor sequence [GO:0045050], tail-anchored membrane protein insertion into ER membrane [GO:0071816]","Endoribonuclease endu-1, ER membrane protein complex subunit 6",Genes involved in autophagosome assembly
rank_25_comp19_top100.csv,100,32,"positive regulation of transcription by RNA polymerase II [GO:0045944], cell surface receptor signaling pathway [GO:0007166], mRNA processing [GO:0006397]","Adhesion G-protein coupled receptor D1, Fragile X messenger ribonucleoprotein 1 homolog, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_25_comp1_top100.csv,100,40,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]","Adhesion G-protein coupled receptor D1, Fragile X messenger ribonucleoprotein 1 homolog, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_25_comp2.csv,1,1,"camera-type eye development [GO:0043010], circadian regulation of gene expression [GO:0032922], embryonic retina morphogenesis in camera-type eye [GO:0060059]",Early growth response protein 1,Genes involved in gene expression regulation and development and differentiation
rank_25_comp20.csv,27,13,"negative regulation of transcription by RNA polymerase II [GO:0000122], regulation of transcription by RNA polymerase II [GO:0006357], transcription by RNA polymerase II [GO:0006366]","Deformed epidermal autoregulatory factor 1 homolog, Hippocalcin-like protein 1, Leucine-rich repeat-containing protein 59 [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]",Genes involved in development and differentiation and gene expression regulation
rank_25_comp20_top100.csv,100,34,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of gene expression [GO:0010629], RNA splicing [GO:0008380]","Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog, E3 ubiquitin-protein ligase MIB2",Genes involved in development and differentiation and signal transduction
rank_25_comp21.csv,3,0,N/A,N/A,Unannotated genes
rank_25_comp21_top100.csv,100,27,"negative regulation of gene expression [GO:0010629], positive regulation of DNA-templated transcription [GO:0045893], negative regulation of translation [GO:0017148]","Fibrocystin-L, E3 ubiquitin-protein ligase rnf213-alpha, Sodium/calcium exchanger 2",Genes involved in development and differentiation and signal transduction
rank_25_comp22.csv,3,0,N/A,N/A,Unannotated genes
rank_25_comp22_top100.csv,100,37,"negative regulation of gene expression [GO:0010629], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","E3 ubiquitin-protein ligase MIB2, Eukaryotic translation initiation factor 2-alpha kinase 3, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_25_comp23.csv,5,2,"amino acid metabolic process [GO:0006520], L-phenylalanine catabolic process [GO:0006559], tyrosine catabolic process [GO:0006572]","Homogentisate 1,2-dioxygenase, Sperm microtubule inner protein 8",Genes primarily involved in metabolic processes
rank_25_comp23_top100.csv,100,32,"positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Fragile X messenger ribonucleoprotein 1 homolog, ATPase MORC2A, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_25_comp24.csv,585,249,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122]","Protocadherin Fat 4, Hemicentin-1, GON-4-like protein",Genes involved in development and differentiation and gene expression regulation
rank_25_comp24_top100.csv,100,38,"negative regulation of gene expression [GO:0010629], cell surface receptor signaling pathway [GO:0007166], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]","Adhesion G-protein coupled receptor D1, Fibrocystin-L, E3 ubiquitin-protein ligase MIB2",Genes involved in development and differentiation and signal transduction
rank_25_comp25.csv,2,1,"cellular response to progesterone stimulus [GO:0071393], negative regulation of DNA-templated transcription [GO:0045892], positive regulation of DNA-templated transcription [GO:0045893]",Transcriptional-regulating factor 1,Genes involved in gene expression regulation and signal transduction
rank_25_comp25_top100.csv,100,36,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], mRNA processing [GO:0006397]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fragile X messenger ribonucleoprotein 1 homolog, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_25_comp2_top100.csv,100,36,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of gene expression [GO:0010628]","Early growth response protein 1, Eukaryotic translation initiation factor 2-alpha kinase 3, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_25_comp3.csv,17,6,"cilium assembly [GO:0060271], formation of radial glial scaffolds [GO:0021943], interneuron migration from the subpallium to the cortex [GO:0021830]","ADP-ribosylation factor-like protein 13B, Dynein regulatory complex protein 9, Cilia- and flagella-associated protein 45",Genes involved in cilium assembly and function and development and differentiation
rank_25_comp3_top100.csv,100,29,"positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397], negative regulation of gene expression [GO:0010629]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp4.csv,5,2,"anterior/posterior axis specification [GO:0009948], caudal fin morphogenesis [GO:0035143], determination of heart left/right asymmetry [GO:0061371]","Chordin, Anoctamin-4",Genes involved in development and differentiation and signal transduction
rank_25_comp4_top100.csv,100,33,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122], negative regulation of gene expression [GO:0010629]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp5_top100.csv,100,37,"adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], cell surface receptor signaling pathway [GO:0007166], G protein-coupled receptor signaling pathway [GO:0007186]","Adhesion G-protein coupled receptor D1, Fibrocystin-L, E3 ubiquitin-protein ligase MIB2",Genes involved in development and differentiation and signal transduction
rank_25_comp6.csv,5,3,"action potential [GO:0001508], potassium ion transmembrane transport [GO:0071805], potassium ion transport [GO:0006813]","Potassium voltage-gated channel protein Shaw, EGF-containing fibulin-like extracellular matrix protein 1, Mitogen-activated protein kinase kinase kinase mlk-1",Genes involved in development and differentiation and intracellular transport
rank_25_comp6_top100.csv,100,38,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of gene expression [GO:0010628]","Eukaryotic translation initiation factor 2-alpha kinase 3, E3 ubiquitin-protein ligase MIB2, Fibrocystin-L",Genes involved in signal transduction and gene expression regulation
rank_25_comp7.csv,4,2,"cellular homeostasis [GO:0019725], mitochondrial outer membrane permeabilization [GO:0097345], mitochondrion organization [GO:0007005]","Transient receptor potential cation channel subfamily A member 1 homolog, Mitochondrial Rho GTPase 1-A",Genes primarily involved in intracellular transport
rank_25_comp7_top100.csv,100,40,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of gene expression [GO:0010629], positive regulation of gene expression [GO:0010628]","Fibrocystin-L, E3 ubiquitin-protein ligase MIB2, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp8.csv,26,14,"cell differentiation [GO:0030154], cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169], positive regulation of ERK1 and ERK2 cascade [GO:0070374]","La-related protein 6, Autophagy-related protein 2 homolog B, Tyrosine-protein kinase Src42A",Genes involved in development and differentiation and signal transduction
rank_25_comp8_top100.csv,100,36,"positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","E3 ubiquitin-protein ligase MIB2, Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp9.csv,2486,954,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], signal transduction [GO:0007165]","Adhesion G-protein coupled receptor D1, Hemicentin-1, Radial spoke head 1 homolog",Genes involved in development and differentiation and signal transduction
rank_25_comp9_top100.csv,100,32,"cell surface receptor signaling pathway [GO:0007166], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], G protein-coupled receptor signaling pathway [GO:0007186]","Adhesion G-protein coupled receptor D1, Fibrocystin-L, Fragile X messenger ribonucleoprotein 1 homolog",Genes involved in development and differentiation and signal transduction
rank_35_comp1.csv,2880,1095,"proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122]","Hemicentin-1, Proto-oncogene tyrosine-protein kinase receptor Ret, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_35_comp10.csv,33,7,"acetylcholine receptor signaling pathway [GO:0095500], behavioral response to nicotine [GO:0035095], excitatory postsynaptic potential [GO:0060079]","Leucine-rich repeat-containing protein 59 [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed], Neuronal acetylcholine receptor subunit alpha-3, Iron-sulfur cluster co-chaperone protein HscB",Genes involved in development and differentiation and intracellular transport
rank_35_comp10_top100.csv,101,33,"flagellated sperm motility [GO:0030317], signal transduction [GO:0007165], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]","EGFR adapter protein, Chloride intracellular channel protein 2, Adenylate kinase 9",Genes involved in development and differentiation and metabolic processes
rank_35_comp11_top100.csv,100,33,"cell division [GO:0051301], response to lipopolysaccharide [GO:0032496], cell adhesion [GO:0007155]","Ovochymase-1, Retinol dehydrogenase 5, Amine oxidase [flavin-containing] B",Genes involved in development and differentiation and signal transduction
rank_35_comp12.csv,30,14,"protein ubiquitination [GO:0016567], ubiquitin-dependent protein catabolic process [GO:0006511], negative regulation of DNA-templated transcription [GO:0045892]","Thioredoxin domain-containing protein, Ubiquitin-conjugating enzyme E2-17 kDa, Dynein axonemal assembly factor 6",Genes involved in metabolic processes and intracellular transport
rank_35_comp12_top100.csv,100,29,"negative regulation of transcription by RNA polymerase II [GO:0000122], proteolysis [GO:0006508], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]","Ovochymase-1, Amine oxidase [flavin-containing] B, Adhesion G protein-coupled receptor B1",Genes involved in development and differentiation and metabolic processes
rank_35_comp13.csv,6,3,"cytoplasmic translation [GO:0002181], signal transduction [GO:0007165], COPII vesicle coating [GO:0048208]","Developmentally-regulated GTP-binding protein 2, Guanine nucleotide-exchange factor SEC12, Selenocysteine lyase",Genes involved in intracellular transport and signal transduction
rank_35_comp13_top100.csv,100,34,"innate immune response [GO:0045087], defense response to Gram-negative bacterium [GO:0050829], signal transduction [GO:0007165]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Retinol dehydrogenase 5, Amine oxidase [flavin-containing] B",Genes involved in development and differentiation and signal transduction
rank_35_comp14.csv,1,0,N/A,N/A,Unannotated genes
rank_35_comp14_top100.csv,100,33,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], defense response to Gram-negative bacterium [GO:0050829]","Ovochymase-1, Amine oxidase [flavin-containing] B, Adhesion G protein-coupled receptor B1",Genes involved in signal transduction and metabolic processes
rank_35_comp15.csv,1,0,N/A,N/A,Unannotated genes
rank_35_comp15_top100.csv,100,30,"cell division [GO:0051301], cell adhesion [GO:0007155], innate immune response [GO:0045087]","Retinol dehydrogenase 5, Hemicentin-1, Adhesion G protein-coupled receptor B1",Genes involved in development and differentiation and signal transduction
rank_35_comp16_top100.csv,100,39,"innate immune response [GO:0045087], positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944]","Retinol dehydrogenase 5, Adhesion G protein-coupled receptor B1, Hemicentin-1",Genes involved in development and differentiation and signal transduction
rank_35_comp17_top100.csv,100,35,"visual perception [GO:0007601], proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357]","Ovochymase-1, Adhesion G protein-coupled receptor B1, Retinol dehydrogenase 5",Genes involved in development and differentiation and signal transduction
rank_35_comp18.csv,4,0,N/A,N/A,Unannotated genes
rank_35_comp18_top100.csv,100,30,"signal transduction [GO:0007165], flagellated sperm motility [GO:0030317], positive regulation of transcription by RNA polymerase II [GO:0045944]","Ovochymase-1, Adhesion G protein-coupled receptor B1, Stabilizer of axonemal microtubules 4",Genes involved in signal transduction and development and differentiation
rank_35_comp19.csv,14,3,"cellular response to acidic pH [GO:0071468], cytoplasmic microtubule organization [GO:0031122], membrane docking [GO:0022406]","Calcineurin B homologous protein 1, E3 ubiquitin-protein ligase E3D, Protein-lysine N-methyltransferase SMYD4",Genes involved in protein processing and degradation and metabolic processes
