Coords	Name	MIRNA	1A10-fastp-adapters-polyG-31bp-merged_condensed	1A11-fastp-adapters-polyG-31bp-merged_condensed	1A12-fastp-adapters-polyG-31bp-merged_condensed	1A1-fastp-adapters-polyG-31bp-merged_condensed	1A2-fastp-adapters-polyG-31bp-merged_condensed	1A8-fastp-adapters-polyG-31bp-merged_condensed	1A9-fastp-adapters-polyG-31bp-merged_condensed	1B10-fastp-adapters-polyG-31bp-merged_condensed	1B11-fastp-adapters-polyG-31bp-merged_condensed	1B12-fastp-adapters-polyG-31bp-merged_condensed	1B1-fastp-adapters-polyG-31bp-merged_condensed	1B2-fastp-adapters-polyG-31bp-merged_condensed	1B5-fastp-adapters-polyG-31bp-merged_condensed	1B9-fastp-adapters-polyG-31bp-merged_condensed	1C10-fastp-adapters-polyG-31bp-merged_condensed	1C4-fastp-adapters-polyG-31bp-merged_condensed	1D10-fastp-adapters-polyG-31bp-merged_condensed	1D3-fastp-adapters-polyG-31bp-merged_condensed	1D4-fastp-adapters-polyG-31bp-merged_condensed	1D6-fastp-adapters-polyG-31bp-merged_condensed	1D8-fastp-adapters-polyG-31bp-merged_condensed	1D9-fastp-adapters-polyG-31bp-merged_condensed	1E10-fastp-adapters-polyG-31bp-merged_condensed	1E11-fastp-adapters-polyG-31bp-merged_condensed	1E12-fastp-adapters-polyG-31bp-merged_condensed	1E1-fastp-adapters-polyG-31bp-merged_condensed	1E3-fastp-adapters-polyG-31bp-merged_condensed	1E5-fastp-adapters-polyG-31bp-merged_condensed	1E9-fastp-adapters-polyG-31bp-merged_condensed	1F11-fastp-adapters-polyG-31bp-merged_condensed	1F4-fastp-adapters-polyG-31bp-merged_condensed	1F8-fastp-adapters-polyG-31bp-merged_condensed	1G5-fastp-adapters-polyG-31bp-merged_condensed	1H12-fastp-adapters-polyG-31bp-merged_condensed	1H7-fastp-adapters-polyG-31bp-merged_condensed	1H8-fastp-adapters-polyG-31bp-merged_condensed	2B2-fastp-adapters-polyG-31bp-merged_condensed	2B3-fastp-adapters-polyG-31bp-merged_condensed	2C1-fastp-adapters-polyG-31bp-merged_condensed	2C2-fastp-adapters-polyG-31bp-merged_condensed	2D2-fastp-adapters-polyG-31bp-merged_condensed	2E2-fastp-adapters-polyG-31bp-merged_condensed	2F1-fastp-adapters-polyG-31bp-merged_condensed	2G1-fastp-adapters-polyG-31bp-merged_condensed
ptg000008l:18176351-18176768	Cluster_4737	N	1	0	13	2	118	1	274	0	0	0	202	0	5	1	0	0	1	481	5	27	15	0	0	0	0	2	2	1	3	0	14	0	171	0	19	0	1	2	53	3	3	0	2	0
ptg000008l:18176901-18177612	Cluster_4738	N	1	0	105	7	116	19	571	45	0	0	55	5	33	1	1	21	6	308	322	13	491	80	0	0	0	0	4	9	250	5	764	0	474	4	98	10	19	8	330	17	73	2	1	585
ptg000008l:18180222-18181239	Cluster_4739	N	75	0	479	57	549	34	762	270	0	0	52	25	320	113	4	4	232	114	797	321	555	137	0	0	0	106	324	2	431	32	705	84	720	20	191	28	169	14	385	18	545	18	45	722
ptg000008l:18181811-18182239	Cluster_4740	N	20	0	185	0	26	0	156	40	0	0	11	0	32	63	0	0	30	36	258	21	459	4	0	0	0	8	68	0	68	0	282	14	61	0	5	0	36	0	13	0	109	0	8	367
ptg000008l:18188061-18188568	Cluster_4741	N	13	0	103	38	177	44	198	53	0	0	24	17	295	28	12	0	42	99	178	241	115	169	1	0	0	39	88	0	114	27	139	7	285	17	138	70	40	0	188	1	85	16	13	106
ptg000008l:18190331-18190748	Cluster_4742	N	21	0	18	3	31	5	34	20	0	0	25	2	26	17	3	0	38	31	94	19	15	24	0	0	0	69	45	0	24	4	37	22	26	1	15	1	25	0	10	0	35	0	5	43
ptg000008l:18198520-18198948	Cluster_4743	N	0	0	1	49	0	21	5	2	0	0	0	37	0	0	7	24	3	2	2	227	2	121	0	0	0	0	0	6	2	28	5	0	7	3	134	9	1	1	4	119	3	3	0	1
ptg000008l:18199897-18200454	Cluster_4744	N	20	0	39	8	47	12	795	19	0	0	35	2	238	4	0	7	7	40	901	754	85	176	0	0	0	25	78	0	33	40	109	99	117	3	56	1	6	7	42	8	41	5	22	69
ptg000008l:18200661-18201088	Cluster_4745	N	0	0	15	2	20	0	36	3	38	317	31	2	2	0	1	1	0	60	44	15	19	1	344	16	11	0	0	0	15	0	16	0	7	0	1	0	2	0	33	1	7	0	0	24
ptg000008l:18204560-18204988	Cluster_4746	N	83	0	3	2	4	1	8	0	0	0	2	1	5	78	0	0	212	3	4	8	8	9	0	0	0	105	613	0	4	3	2	84	9	2	8	2	151	0	7	7	0	0	48	5
ptg000008l:18214239-18214725	Cluster_4747	N	18	0	6	1	262	22	214	7	0	0	1	1	161	8	0	2	15	4	60	333	3	14	0	0	0	24	11	1	2	0	71	8	284	10	108	20	8	16	0	46	1	3	0	60
ptg000008l:18215424-18215870	Cluster_4748	N	0	0	94	1	40	1	86	38	0	0	4	0	377	1	0	0	2	49	195	181	142	173	0	0	0	0	1	0	77	0	108	0	9	0	78	1	0	2	35	0	27	0	1	28
ptg000008l:18218957-18219384	Cluster_4749	N	0	0	59	16	30	0	90	40	1	0	0	0	162	0	0	0	16	169	96	50	74	126	0	0	0	0	2	2	41	2	52	1	71	16	71	0	0	0	52	0	44	6	0	68
ptg000008l:18224696-18225665	Cluster_4750	N	4	0	1021	6	484	1	570	497	1	0	26	40	271	5	3	18	21	110	1049	176	774	72	1	0	0	21	45	34	442	7	1250	5	1015	3	138	0	2	108	576	284	307	1	2	896
ptg000008l:18225993-18226537	Cluster_4751	N	29	0	70	48	26	31	39	50	0	0	56	37	29	22	15	0	100	288	130	44	95	38	0	1	0	29	157	0	51	36	98	25	35	14	15	32	54	0	19	0	66	9	16	121
ptg000008l:18226550-18228556	Cluster_4752	N	928	0	4541	1408	289	575	309	1996	0	3	1774	1065	528	567	318	0	2801	7540	6671	543	5134	372	0	0	0	1257	5760	0	3170	957	5978	884	310	473	207	997	1959	1	181	1	2586	245	441	5429
ptg000008l:18228788-18229218	Cluster_4753	N	8	0	77	0	35	0	91	53	0	0	13	0	66	10	0	1	57	47	155	102	142	49	0	0	0	26	108	0	62	0	129	14	45	0	52	0	36	0	31	0	43	0	8	195
ptg000008l:18233630-18234060	Cluster_4754	N	0	0	48	2	765	0	611	16	0	0	150	2	1350	1	0	4	4	549	59	1378	287	395	0	0	0	3	1	2	104	2	40	0	523	2	2275	1	3	41	272	50	31	0	2	162
ptg000008l:18237668-18238139	Cluster_4755	N	0	0	431	8	133	0	170	173	0	0	7	0	151	0	0	2	9	49	473	153	35	49	0	0	0	0	0	0	94	9	27	1	284	0	144	0	8	1	0	4	28	1	0	79
ptg000008l:18239539-18239957	Cluster_4756	N	17	0	25	2	2	3	7	9	0	0	4	1	9	2	0	0	48	8	30	9	18	4	0	0	0	14	83	0	24	0	25	29	6	1	143	0	48	2	7	25	7	0	8	8
ptg000008l:18240551-18241136	Cluster_4757	N	72	0	16	81	67	13	85	120	0	1	134	102	110	120	441	64	85	45	36	74	21	73	0	0	0	54	233	54	204	71	55	94	82	28	42	15	399	41	651	38	144	101	527	65
ptg000008l:18241938-18242368	Cluster_4758	N	3	0	7	6	229	1	234	2	0	0	0	4	18	4	5	1	15	0	17	12	3	13	0	1	0	7	18	0	5	3	5	2	575	2	6	1	6	1	211	0	10	1	5	8
ptg000008l:18242459-18243034	Cluster_4759	N	4	0	15	19	612	5	570	13	0	0	0	7	27	26	0	0	15	13	19	12	13	15	0	0	0	45	17	2	24	9	13	2	637	2	8	22	2	0	523	0	19	1	2	6
ptg000008l:18248376-18248803	Cluster_4760	N	0	19	3	18	25	0	52	5	0	0	16	11	37	2	2	8	0	2	22	58	3	17	0	0	0	1	3	0	7	11	35	0	63	0	12	0	1	42	29	33	3	1	0	14
ptg000008l:18249892-18250352	Cluster_4761	N	7	0	125	14	127	0	141	60	0	0	13	2	91	13	1	0	120	49	164	58	77	37	0	1	0	62	175	1	75	4	57	6	232	0	64	4	35	3	115	0	68	0	17	130
ptg000008l:18251557-18252149	Cluster_4762	N	1	14	45	1	279	0	412	15	0	0	14	0	94	3	0	0	14	5	56	110	22	39	0	0	0	5	18	2	5	4	42	1	544	0	72	0	8	1	256	1	31	4	2	40
ptg000008l:18258990-18259802	Cluster_4763	N	0	0	17	3	5	76	34	2	0	0	0	1	331	0	0	139	2	0	4	291	13	620	0	0	0	2	2	50	0	2	2	1	16	50	158	100	0	125	11	598	2	36	0	0
ptg000008l:18260263-18260710	Cluster_4764	N	15	0	135	11	103	2	150	99	0	0	46	8	230	23	3	0	56	206	318	194	159	114	0	0	0	15	98	0	139	4	283	18	151	0	68	1	40	1	90	0	134	3	11	214
ptg000008l:18261108-18262092	Cluster_4765	N	124	0	1384	11	1450	3	2796	962	0	1	1458	9	1710	174	4	6	345	2583	4535	2981	1565	1501	0	0	0	143	675	0	1387	30	2179	106	2668	4	710	2	250	16	1421	22	1594	0	91	3534
ptg000008l:18265997-18266405	Cluster_4766	N	0	0	22	1	20	0	30	10	0	0	9	0	3	0	1	0	0	371	31	0	10	5	0	0	0	0	0	0	19	0	32	2	70	0	3	0	0	0	41	1	19	0	0	9
ptg000008l:18275946-18276375	Cluster_4767	N	5	0	4	2	37	0	160	11	0	0	282	1	5	1	1	1	10	1289	17	1	7	12	0	0	0	7	23	0	8	1	2	6	139	0	10	0	11	7	160	14	0	0	1	8
ptg000008l:18279793-18280467	Cluster_4768	N	136	1	1018	3	766	1	905	452	0	1	336	4	139	127	3	11	603	467	2044	192	3545	119	0	0	0	1901	1266	2	711	15	1074	197	1007	2	183	31	954	12	352	0	965	1	57	2773
ptg000008l:18280874-18281316	Cluster_4769	N	3	147	41	7	81	26	95	22	0	4	10	2	75	19	0	6	11	22	261	52	116	13	2	2	4	16	32	4	65	2	113	7	79	12	19	12	14	9	54	8	81	11	3	198
ptg000008l:18288017-18288444	Cluster_4770	N	2	0	20	0	35	1	415	0	0	0	0	0	10	18	0	0	18	54	15	36	30	0	0	0	0	2	90	2	4	1	25	0	268	1	14	1	13	0	8	5	7	0	0	10
ptg000008l:18289173-18289593	Cluster_4771	N	0	0	65	0	53	0	150	36	0	0	6	1	74	21	0	0	9	16	103	121	94	55	0	0	0	3	71	0	27	0	66	2	115	0	55	0	16	0	60	0	56	0	4	72
ptg000008l:18289605-18290778	Cluster_4772	N	96	0	137	0	326	0	517	69	0	0	12	0	274	148	0	1	225	66	292	355	197	168	0	0	0	89	685	0	75	0	188	35	479	1	195	0	189	1	277	0	153	0	33	167
ptg000008l:18317914-18318341	Cluster_4773	N	1	0	26	5	1	0	140	8	0	0	1	1	35	9	4	0	18	31	2	175	10	7	0	1	0	8	45	0	22	4	2	1	75	0	28	0	9	0	12	2	51	0	0	39
ptg000008l:18326976-18327403	Cluster_4774	N	29	0	40	40	22	34	44	8	0	0	23	25	136	87	12	0	123	75	64	117	39	112	0	0	0	25	182	0	23	11	28	32	102	13	119	22	107	0	5	1	51	15	28	20
ptg000008l:18354028-18354572	Cluster_4775	N	111	0	87	117	101	273	155	97	0	0	104	77	3	114	98	84	97	308	141	91	5	169	0	0	0	67	25	89	84	57	182	82	82	4	4	25	3	516	114	144	82	105	4	159
ptg000008l:18357414-18358242	Cluster_4776	N	31	0	176	117	905	16	1027	88	0	0	101	84	388	46	40	0	48	107	424	500	113	195	0	0	0	29	102	5	11	3	240	5	1315	26	348	70	17	2	701	5	62	2	26	305
ptg000008l:18370153-18371243	Cluster_4777	N	297	0	1102	678	1210	340	1424	465	0	0	291	501	1206	280	153	249	392	682	710	4225	722	1066	0	0	0	525	1913	63	467	546	1590	241	2213	244	1549	474	408	1422	1140	1525	556	80	72	1919
ptg000008l:18371861-18372283	Cluster_4778	N	0	0	10	22	52	7	142	1	0	0	0	15	3	0	6	43	0	0	24	3	12	1	0	0	0	0	3	8	3	21	12	0	68	2	6	5	0	182	30	311	9	3	0	12
ptg000008l:18372349-18372777	Cluster_4779	N	0	0	16	73	86	46	204	4	0	1	0	62	10	0	13	31	0	0	21	4	34	0	0	0	0	0	0	8	0	62	37	0	167	12	12	24	2	270	78	357	8	2	0	11
ptg000008l:18375550-18375979	Cluster_4780	N	1	0	1	0	4	1	1	1	0	0	0	0	3	0	0	0	10	0	0	6	1	2	0	0	0	5	5	0	0	0	0	1	4	0	500	0	5	0	2	7	0	0	1	2
ptg000008l:18378637-18379078	Cluster_4781	N	42	7	77	6	119	31	150	56	0	0	46	5	247	78	6	1	104	151	174	201	119	110	0	0	0	31	177	3	29	4	82	56	253	29	106	21	86	7	127	14	55	15	20	106
ptg000008l:18380086-18380493	Cluster_4782	N	60	0	2	1	20	2	14	14	0	0	2	0	89	89	0	5	177	7	18	63	4	12	0	0	0	89	362	5	11	0	11	44	48	0	22	0	94	1	60	0	4	3	12	2
ptg000008l:18380516-18380944	Cluster_4783	N	0	0	1	5	5	0	15	0	0	0	0	5	201	1	1	5	8	5	3	151	3	119	0	0	0	2	1	0	10	1	1	4	5	0	124	0	1	13	8	46	2	0	3	2
ptg000008l:18390766-18391253	Cluster_4784	N	9	0	68	5	55	16	56	16	0	0	6	9	213	15	7	0	30	11	130	167	25	142	0	0	0	12	41	0	27	6	59	8	85	10	119	28	9	0	57	2	50	5	13	52
ptg000008l:18393575-18394404	Cluster_4785	N	24	0	242	6	73	12	106	12	0	0	35	21	44	8	7	0	30	146	57	53	355	27	0	0	0	11	114	0	22	10	58	14	106	9	30	5	7	7	37	2	23	11	11	61
ptg000008l:18397608-18398034	Cluster_4786	N	0	0	7	0	1	0	1	0	0	0	1028	0	108	1	0	0	4	1880	1	49	0	9	0	0	0	1	0	0	0	0	3	2	0	1	177	0	6	4	0	4	3	2	1	35
ptg000008l:18406851-18407431	Cluster_4787	N	47	0	209	66	310	5	224	80	0	0	86	119	956	20	45	1	805	17	111	41	77	752	0	0	0	55	236	1	152	386	44	5	90	0	19	18	8	1	54	2	133	1	21	31
ptg000008l:18410872-18411419	Cluster_4788	N	4	18	15	49	237	13	553	5	0	0	2	41	53	7	3	5	49	12	7	15	20	5	0	0	0	12	13	5	5	10	34	3	1256	15	92	7	7	60	279	29	3	11	7	23
ptg000008l:18411491-18412310	Cluster_4789	N	292	2	628	445	107	735	416	256	0	2	254	241	1743	220	80	246	751	1286	702	2159	595	835	0	0	0	306	1591	94	269	387	750	197	221	424	796	778	443	1849	106	1649	255	227	149	776
ptg000008l:18413249-18413940	Cluster_4790	N	6	0	925	136	109	51	289	402	0	0	60	59	431	7	32	14	28	226	1614	723	1090	231	0	0	0	9	37	2	495	85	1583	5	283	34	73	43	9	60	43	84	581	14	6	1189
ptg000008l:18422442-18423304	Cluster_4791	N	25	0	339	51	145	34	333	167	0	0	15	65	310	46	5	1	104	71	505	429	423	95	0	0	0	36	210	3	195	42	445	25	377	60	148	70	50	7	181	7	286	8	10	545
ptg000008l:18429312-18429739	Cluster_4792	N	3	0	4	117	22	12	23	2	0	0	10	36	16	6	19	3	55	27	9	29	4	6	0	0	0	14	48	0	4	93	11	7	15	8	316	1	12	2	16	6	1	2	5	22
ptg000008l:18459222-18459708	Cluster_4793	N	88	0	44	48	273	48	636	68	0	0	1	141	306	107	31	1	218	0	262	398	27	25	0	0	0	70	429	3	0	130	286	32	541	74	142	39	166	0	208	0	120	0	38	177
ptg000008l:18470965-18471542	Cluster_4794	N	65	0	359	28	270	48	274	149	2	0	18	26	169	115	9	0	177	124	419	157	222	109	1	0	0	81	269	0	132	12	432	70	298	18	67	63	101	115	262	195	112	3	31	165
ptg000008l:18471833-18472690	Cluster_4795	N	20	0	55	366	132	0	137	2	0	0	0	5	67	17	3	4	17	131	76	68	84	29	0	0	0	24	31	1	11	24	1050	0	162	1	21	7	15	3	23	1	25	0	7	7
ptg000008l:18488814-18489243	Cluster_4796	N	240	0	6	0	2292	5	128	14	0	0	88	10	553	34	0	0	62	877	18	145	10	124	1	0	0	43	1470	0	58	0	4	39	2198	19	230	433	39	0	55	9	10	11	44	8
ptg000008l:18498187-18498616	Cluster_4797	N	108	0	6	1	3	0	12	8	0	0	647	0	0	102	0	0	1086	882	11	0	4	0	0	1	0	706	2641	0	6	0	8	87	11	1	0	0	318	0	16	0	3	0	0	14
ptg000008l:18498951-18499378	Cluster_4798	N	19	0	21	11	40	6	87	15	0	0	49	10	6	19	2	0	108	213	37	0	33	1	0	0	0	62	156	0	9	5	29	17	76	8	20	8	32	0	45	7	31	0	17	26
ptg000008l:18502772-18503438	Cluster_4799	N	37	0	78	86	210	15	556	37	0	0	33	73	392	46	6	3	113	147	239	298	109	247	0	0	0	82	151	1	152	7	137	3	406	4	135	90	3	38	264	5	110	2	1	518
ptg000008l:18531995-18533787	Cluster_4800	N	517	0	248	119	1508	420	992	338	1	0	278	113	711	391	47	208	1598	1025	529	1261	275	591	0	0	0	1130	2089	43	302	138	412	386	1555	189	375	794	838	1220	726	1870	360	87	534	512
ptg000008l:18533814-18534243	Cluster_4801	N	10	0	535	5	10	4	27	3	0	0	9	2	29	11	4	8	14	27	590	33	131	17	0	0	0	4	32	0	268	3	368	12	33	3	25	11	11	30	16	47	190	2	7	452
ptg000008l:18534322-18534848	Cluster_4802	N	45	0	50	60	91	54	191	42	0	0	30	51	100	51	12	30	63	86	68	121	72	164	0	0	0	62	443	13	33	49	90	31	454	45	73	56	70	56	138	93	46	13	33	74
ptg000008l:18535211-18535988	Cluster_4803	N	238	0	49	52	274	57	261	42	0	0	97	58	37	273	27	19	242	233	56	102	53	98	0	0	0	178	399	6	37	14	65	84	620	35	142	298	461	104	215	140	27	21	59	54
ptg000008l:18536589-18537400	Cluster_4804	N	2	0	6	45	1367	4	2890	2	82	40	1	33	13	0	5	3	8	0	6	10	0	4	58	0	0	1	15	0	2	36	2	3	2908	0	54	3	9	3	1733	7	3	3	0	5
ptg000008l:18559144-18559706	Cluster_4805	N	8	0	20	4	7	11	42	0	0	0	5	20	96	11	0	14	251	51	21	3234	10	27	0	0	0	45	59	8	2	0	19	12	39	5	28	7	42	821	23	35	10	1	9	63
ptg000008l:18561560-18561978	Cluster_4806	N	6	0	12	2	4	2	13	98	0	0	0	0	2	4	0	0	12	1	35	3	5	39	0	0	0	8	5	0	29	0	22	2	13	50	11	41	5	2	7	0	200	197	2	13
ptg000008l:18562688-18563471	Cluster_4807	N	187	0	11	1	33	0	34	7	0	0	0	1	16	189	0	0	488	4	23	26	6	10	0	0	0	251	1163	0	4	0	6	107	36	3	16	8	290	6	29	8	4	1	71	14
ptg000008l:18565704-18566131	Cluster_4808	N	0	0	5	0	3	0	1	0	0	0	15	0	55	1	0	0	2	12	4	745	3	19	0	0	0	0	2	0	0	0	1	3	23	0	37	1	0	2	3	6	0	1	0	3
ptg000008l:18567220-18567652	Cluster_4809	N	2	0	85	11	1	2	44	9	0	0	4	8	204	2	4	0	0	8	155	192	193	94	0	0	0	0	3	0	75	7	207	1	30	1	76	2	0	9	17	9	92	2	0	199
ptg000008l:18567717-18568597	Cluster_4810	N	4	0	694	28	6	5	106	495	0	0	9	5	584	4	13	4	7	139	1284	530	493	257	0	0	0	2	13	0	526	19	1085	0	56	1	218	4	2	59	14	25	516	3	10	938
ptg000008l:18574755-18575658	Cluster_4811	N	204	0	142	171	507	118	959	41	0	0	17	126	538	157	12	0	598	44	221	425	170	206	0	0	0	143	897	0	54	106	158	118	779	35	205	111	275	7	469	24	98	25	116	186
ptg000008l:18578401-18578821	Cluster_4812	N	32	0	3	4	5	2	5	3	0	0	38	30	62	60	6	12	120	31	11	13	3	68	0	0	0	33	82	2	8	3	10	30	2	9	6	14	50	30	11	19	9	13	43	2
ptg000008l:18582857-18583342	Cluster_4813	N	10	0	0	6	1	64	1	1	0	0	40	5	38	2	0	2	23	908	1	16	1	14	0	0	0	4	41	2	1	5	2	7	0	10	28	42	9	8	1	19	4	12	2	4
ptg000008l:18583370-18583798	Cluster_4814	N	12	0	2	7	1	64	1	0	0	0	68	6	70	19	0	0	48	855	5	53	5	43	0	0	0	19	97	1	2	11	0	8	0	20	41	42	26	5	0	15	1	8	8	0
ptg000008l:18638889-18639444	Cluster_4815	N	282	0	27	0	85	3	0	26	0	0	1	0	70	2	14	0	31	21	266	0	1	52	0	0	1	230	1	0	116	3	1	0	39	0	1	5	9	0	0	1	3	1	73	1641
ptg000008l:18663788-18664215	Cluster_4816	N	22	0	0	49	0	0	0	0	0	0	20	76	0	11	26	0	27	48	0	0	0	0	0	0	0	18	67	0	0	66	0	14	0	0	1	0	14	3	0	2	2	0	3	1
ptg000008l:18725405-18726215	Cluster_4817	N	449	0	2266	167	1099	26	1429	1877	0	1	412	63	2404	347	42	67	1040	2052	4147	2133	2901	1077	0	0	1	578	1754	29	2369	122	5051	234	2244	6	1025	23	741	385	1138	643	1648	4	253	2995
ptg000008l:18726299-18727149	Cluster_4818	N	99	0	307	44	97	37	176	169	0	0	26	28	1387	59	7	64	405	119	519	1602	422	855	0	0	0	130	583	12	166	25	437	60	191	21	599	34	151	380	77	541	114	5	50	583
ptg000008l:18727917-18728503	Cluster_4819	N	12	0	54	11	32	37	85	34	0	0	21	9	56	28	8	7	60	43	116	80	85	34	0	1	0	35	147	1	40	19	79	12	56	18	103	22	47	152	43	153	48	12	21	148
ptg000008l:18732410-18732835	Cluster_4820	N	6	0	45	7	26	11	25	20	0	0	7	5	23	24	2	3	64	30	82	43	23	22	0	0	0	29	62	0	24	5	51	10	23	0	13	5	37	6	17	10	16	2	12	32
ptg000008l:18734604-18735024	Cluster_4821	N	7	0	16	15	28	36	29	13	0	1	5	11	56	2	5	3	32	15	21	90	29	37	0	0	0	24	42	1	14	17	44	8	56	15	37	41	4	66	29	122	12	6	3	35
ptg000008l:18735288-18735716	Cluster_4822	N	20	0	38	17	42	24	42	18	0	0	16	3	59	10	4	2	56	50	76	51	34	44	0	0	0	27	59	0	30	12	40	5	48	11	31	22	32	26	24	36	9	3	11	34
ptg000008l:18740298-18740711	Cluster_4823	N	25	1	37	1	11	0	15	27	0	0	2	2	43	4	1	1	41	12	116	92	17	17	0	0	0	7	88	0	37	0	112	2	108	0	19	0	8	0	54	0	35	0	0	62
ptg000008l:18750564-18751009	Cluster_4824	N	7	0	56	32	34	134	99	98	532	3	97	39	59	29	26	217	180	67	132	117	93	21	80	3	7	35	149	36	32	98	39	16	105	21	86	39	105	272	10	176	97	43	251	134
ptg000008l:18756817-18757246	Cluster_4825	N	19	0	131	13	97	23	159	42	0	0	42	11	148	23	0	1	47	267	130	182	68	111	0	0	0	28	103	0	63	15	108	4	133	8	135	21	29	4	105	10	56	9	9	92
ptg000008l:18757457-18757889	Cluster_4826	N	197	0	74	2102	161	0	28	83	1	0	13	2321	1920	288	173	0	793	41	82	2462	70	1000	0	0	0	500	4822	0	57	1773	165	205	280	0	865	7	514	2	195	3	55	5	437	184
ptg000008l:18762423-18762855	Cluster_4827	N	9	0	31	33	82	51	97	13	0	0	18	18	211	3	3	18	40	75	55	204	29	130	0	0	0	15	42	7	9	32	47	1	127	9	137	42	28	92	88	160	14	17	8	38
ptg000008l:18763540-18763965	Cluster_4828	N	5	0	21	18	52	36	73	10	0	0	14	13	111	3	4	1	16	27	12	126	12	58	0	0	0	4	30	0	13	10	21	4	65	8	59	16	6	8	41	16	9	7	0	28
ptg000008l:18770517-18770928	Cluster_4829	N	2	1	29	4	52	18	68	29	0	0	2	2	21	2	0	2	5	12	100	10	72	13	0	0	0	3	8	0	90	1	64	1	47	2	12	11	3	6	66	9	51	7	4	45
ptg000008l:18774118-18774548	Cluster_4830	N	3	0	11	3	49	9	82	27	0	0	6	22	20	7	1	1	22	24	39	31	35	15	0	0	0	15	45	0	49	1	80	7	55	2	18	3	17	38	41	55	8	0	5	49
ptg000008l:18775958-18776389	Cluster_4831	N	6	0	75	12	201	66	363	30	0	0	6	10	571	8	4	42	34	28	96	372	39	189	0	0	0	15	89	1	61	2	59	13	205	17	145	57	29	212	212	194	56	9	11	74
ptg000008l:18776809-18778273	Cluster_4832	N	339	0	454	25	212	35	216	336	0	0	1102	21	5590	334	2	212	1145	4606	851	5683	523	3201	0	0	0	463	1949	14	483	10	704	266	270	15	2368	29	606	788	208	1160	282	12	264	586
ptg000008l:18778599-18779024	Cluster_4833	N	0	0	5	93	37	7	58	5	0	0	6	66	76	1	17	0	12	9	11	79	13	39	0	0	0	5	7	0	0	44	10	1	59	1	53	3	5	5	32	2	2	0	1	7
ptg000008l:18788578-18788991	Cluster_4834	N	7	0	39	6	38	8	50	27	1	0	10	13	108	7	1	1	19	23	88	89	37	45	0	0	0	3	18	0	28	9	53	5	55	7	111	8	4	18	28	16	45	4	4	31
ptg000008l:18789000-18789406	Cluster_4835	N	14	0	23	15	40	12	85	5	0	0	10	18	97	12	4	3	32	44	33	105	41	60	0	0	0	15	49	0	19	12	31	4	82	11	89	18	18	36	43	40	19	1	1	40
ptg000008l:18791039-18792447	Cluster_4836	N	1	0	31	3766	31	21	78	11	0	0	5	2361	74	5	1120	4	33	26	48	84	46	37	0	0	0	11	29	3	17	3357	30	1	45	16	31	11	10	36	34	51	24	0	5	29
ptg000008l:18801102-18801531	Cluster_4837	N	7	1	227	9	31	54	40	127	0	0	37	2	164	3	4	2	12	78	285	204	230	63	1	0	0	8	17	0	107	16	560	7	62	9	116	36	6	12	31	3	78	3	3	322
ptg000008l:18806753-18808086	Cluster_4838	N	388	0	1786	47	564	296	1457	452	0	0	873	36	3914	314	13	0	838	1924	3035	3156	1351	1555	0	0	1	322	1503	0	701	52	2262	296	1752	172	2041	401	475	1	523	0	757	68	139	2259
ptg000008l:18814684-18815114	Cluster_4839	N	4	0	12	196	37	125	68	7	0	0	0	122	144	12	25	11	37	203	30	85	4	47	0	0	0	16	53	0	7	75	12	20	66	0	60	47	1	30	64	0	0	25	0	14
ptg000008l:18820461-18820887	Cluster_4840	N	0	0	0	0	4	1	15	1	0	0	0	5	35	1	0	0	7	558	22	22	12	4	0	0	0	5	1	6	0	3	10	1	17	3	9	0	0	0	34	11	18	0	4	1
ptg000008l:18832481-18832887	Cluster_4841	N	9	0	2	0	4	0	2	5	0	0	7	0	30	8	0	7	17	5	4	27	0	56	0	0	0	9	34	5	0	1	3	2	0	0	72	4	16	64	2	61	4	0	5	2
ptg000008l:18838440-18838865	Cluster_4842	N	3	0	42	4	25	21	30	27	0	0	5	1	24	5	2	3	14	8	71	48	47	22	0	0	0	3	29	0	29	5	98	6	35	7	25	15	15	34	10	43	21	6	2	35
ptg000008l:18844671-18845101	Cluster_4843	N	9	0	65	10	36	27	79	39	0	0	13	5	82	9	2	1	33	70	85	110	43	53	0	0	0	24	65	0	44	9	87	10	66	23	277	27	18	40	43	45	27	8	8	98
ptg000008l:18846068-18846663	Cluster_4844	N	11	0	1652	1	23	842	35	1223	1	0	62	1	292	2	2	1	25	320	1928	141	2096	74	0	0	0	1	36	1	1464	2	2218	5	44	232	164	1367	16	19	26	13	447	118	0	1564
ptg000008l:18848205-18848851	Cluster_4845	N	1	0	132	46	46	439	173	73	0	0	0	29	918	2	8	14	1	1	148	891	203	798	0	0	0	0	3	5	179	94	438	1	115	1	424	36	0	6	54	150	35	5	0	279
ptg000008l:18848884-18849314	Cluster_4846	N	0	0	128	6	3	4	69	0	0	0	2	9	543	0	1	0	11	5	164	567	87	19	0	0	0	0	3	0	3	5	0	1	100	6	152	3	2	26	3	34	6	1	0	60
ptg000008l:18849886-18850480	Cluster_4847	N	202	0	894	0	859	126	1425	543	0	0	560	14	1319	217	12	0	610	1590	1416	1248	1168	419	0	0	0	393	1514	0	514	8	1139	291	1353	31	570	9	562	151	798	59	681	1	168	1595
