Sample #,,,,,,General Information,,,,Amount of Material,,,Miscellaneous,,QC Method Used By Customer,,,Special Comments
103,493,2,A2,2A2,POR-72,TP2,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),54.112,76,0.712,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
104,637,1,G10,1G10,POR-72,TP3,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),39.368,76,0.518,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
105,741,2,F3,2F3,POR-72,TP4,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),59.888,76,0.788,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
106,251,2,C3,2C3,POR-73,TP1,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),14.668,76,0.193,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
107,491,1,H12,1H12,POR-73,TP2,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),45.296,76,0.596,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
108,633,1,D12,1D12,POR-73,TP3,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),132.62,76,1.745,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
109,751,1,E9,1E9,POR-73,TP4,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),380,80,4.75,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
110,247,2,E1,2E1,POR-74,TP1,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),14.174,76,0.1865,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
111,20240805_POR-74_TP2,1,E4,1E4,POR-74,TP2,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),1988,71,28,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
112,641,2,G3,2G3,POR-74,TP3,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),36.632,76,0.482,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
113,749,1,H8,1H8,POR-74,TP4,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),49.704,76,0.654,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
114,20240805_POR-83_TP1,1,E6,1E6,POR-83,TP1,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),2811.6,71,39.6,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
115,469,2,F2,2F2,POR-83,TP2,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),39.52,76,0.52,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
116,669,1,F3,1F3,POR-83,TP3,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),61.104,76,0.804,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
117,711,1,C2,1C2,POR-83,TP4,Genomic DNA,Porites evermanni,Tris buffer (8.0 pH),64.144,76,0.844,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
118,SR_1-440,1,B3,1B3,SR_1-440,NA,Genomic DNA,Somniosus pacificus,"Qiagen Buffer AE (10 mM Tris-Cl, 0.5 mM EDTA; pH 9.0)",2280,200,11.4,Column clean-up (Qiagen DNeasy blood and tissue kit),None,Qubit,NA,NA,"Please keep methylation libraries, as we may want to sequence more"
119,SR_2-84,1,D11,1D11,SR_2-84,NA,Genomic DNA,Gadus macrocephalus,"Qiagen Buffer AE (10 mM Tris-Cl, 0.5 mM EDTA; pH 9.0)",628,200,3.14,Column clean-up (Qiagen DNeasy blood and tissue kit),None,Qubit,NA,NA,"Please keep methylation libraries, as we may want to sequence more"
120,SR_3-440B,2,B1,2B1,SR_3-440B,NA,Genomic DNA,Somniosus pacificus,"Qiagen Buffer AE (10 mM Tris-Cl, 0.5 mM EDTA; pH 9.0)",212,200,1.06,Column clean-up (Qiagen DNeasy blood and tissue kit),None,Qubit,NA,NA,"Please keep methylation libraries, as we may want to sequence more"
