go_term,total_occurrences,unique_group_ids,n_components,redundant_occurrences,redundancy_pct,avg_times_per_group
regulation of DNA-templated transcription,7,1,7,6,85.71428571428571,7
"regulation of alternative mRNA splicing, via spliceosome",7,2,6,5,71.42857142857143,3.5
regulation of mRNA stability,7,2,6,5,71.42857142857143,3.5
synaptic vesicle uncoating,7,1,7,6,85.71428571428571,7
vitellogenesis,7,1,7,6,85.71428571428571,7
CMP catabolic process,6,1,6,5,83.33333333333334,6
DNA damage response,6,5,6,1,16.666666666666664,1.2
UMP catabolic process,6,1,6,5,83.33333333333334,6
animal organ regeneration,6,2,6,4,66.66666666666666,3
apical constriction,6,1,6,5,83.33333333333334,6
beta-alanine biosynthetic process via 3-ureidopropionate,6,1,6,5,83.33333333333334,6
bicellular tight junction assembly,6,1,6,5,83.33333333333334,6
cell projection organization,6,2,5,4,66.66666666666666,3
cellular response to luteinizing hormone stimulus,6,1,6,5,83.33333333333334,6
centrosome localization,6,1,6,5,83.33333333333334,6
dCMP catabolic process,6,1,6,5,83.33333333333334,6
dUMP catabolic process,6,1,6,5,83.33333333333334,6
establishment of cell polarity,6,1,6,5,83.33333333333334,6
establishment of centrosome localization,6,1,6,5,83.33333333333334,6
establishment of epithelial cell polarity,6,1,6,5,83.33333333333334,6
establishment or maintenance of epithelial cell apical/basal polarity,6,1,6,5,83.33333333333334,6
glutamate biosynthetic process,6,1,6,5,83.33333333333334,6
glutamate catabolic process,6,1,6,5,83.33333333333334,6
glutamate receptor signaling pathway,6,1,6,5,83.33333333333334,6
glutamine metabolic process,6,1,6,5,83.33333333333334,6
hormone-mediated signaling pathway,6,1,6,5,83.33333333333334,6
long-term memory,6,1,6,5,83.33333333333334,6
luteinizing hormone signaling pathway,6,1,6,5,83.33333333333334,6
mRNA export from nucleus,6,1,6,5,83.33333333333334,6
membraneless organelle assembly,6,1,6,5,83.33333333333334,6
miRNA-mediated post-transcriptional gene silencing,6,1,6,5,83.33333333333334,6
microtubule cytoskeleton organization,6,1,6,5,83.33333333333334,6
myelination in peripheral nervous system,6,1,6,5,83.33333333333334,6
negative regulation of long-term synaptic depression,6,1,6,5,83.33333333333334,6
negative regulation of miRNA-mediated gene silencing,6,1,6,5,83.33333333333334,6
negative regulation of peptidyl-threonine phosphorylation,6,1,6,5,83.33333333333334,6
negative regulation of synaptic vesicle exocytosis,6,1,6,5,83.33333333333334,6
negative regulation of translational initiation,6,1,6,5,83.33333333333334,6
negative regulation of voltage-gated calcium channel activity,6,1,6,5,83.33333333333334,6
ovulation cycle process,6,1,6,5,83.33333333333334,6
positive regulation of cell migration,6,2,5,4,66.66666666666666,3
positive regulation of dendritic spine development,6,1,6,5,83.33333333333334,6
positive regulation of filopodium assembly,6,1,6,5,83.33333333333334,6
positive regulation of miRNA-mediated gene silencing,6,1,6,5,83.33333333333334,6
positive regulation of myelination,6,1,6,5,83.33333333333334,6
positive regulation of proteasomal protein catabolic process,6,1,6,5,83.33333333333334,6
protein homooligomerization,6,1,6,5,83.33333333333334,6
protein localization,6,1,6,5,83.33333333333334,6
protein targeting to membrane,6,1,6,5,83.33333333333334,6
pyrimidine nucleoside catabolic process,6,1,6,5,83.33333333333334,6
regulation of actin filament-based process,6,1,6,5,83.33333333333334,6
regulation of cell adhesion,6,2,5,4,66.66666666666666,3
regulation of cell cycle,6,3,5,3,50,2
regulation of cellular localization,6,1,6,5,83.33333333333334,6
regulation of dendritic spine development,6,1,6,5,83.33333333333334,6
regulation of embryonic development,6,2,5,4,66.66666666666666,3
regulation of filopodium assembly,6,1,6,5,83.33333333333334,6
regulation of neuronal action potential,6,1,6,5,83.33333333333334,6
regulation of neurotransmitter secretion,6,1,6,5,83.33333333333334,6
response to aluminum ion,6,1,6,5,83.33333333333334,6
response to ethanol,6,3,5,3,50,2
skeletal muscle organ development,6,1,6,5,83.33333333333334,6
skin development,6,1,6,5,83.33333333333334,6
sperm axoneme assembly,6,2,5,4,66.66666666666666,3
stress granule assembly,6,1,6,5,83.33333333333334,6
tissue development,6,2,5,4,66.66666666666666,3
tricarboxylic acid metabolic process,6,1,6,5,83.33333333333334,6
"wound healing, spreading of cells",6,1,6,5,83.33333333333334,6
angiogenesis,5,2,5,3,60,2.5
cellular response to leukemia inhibitory factor,5,2,5,3,60,2.5
enzyme-directed rRNA pseudouridine synthesis,5,1,5,4,80,5
intraciliary transport,5,2,5,3,60,2.5
lipid catabolic process,5,2,5,3,60,2.5
positive regulation of angiogenesis,5,2,4,3,60,2.5
sarcomere organization,5,2,4,3,60,2.5
skeletal system development,5,2,4,3,60,2.5
ER overload response,4,1,4,3,75,4
ERAD pathway,4,1,4,3,75,4
ERK1 and ERK2 cascade,4,1,4,3,75,4
Golgi organization,4,1,4,3,75,4
PERK-mediated unfolded protein response,4,1,4,3,75,4
Rab protein signal transduction,4,1,4,3,75,4
SREBP signaling pathway,4,1,4,3,75,4
animal organ development,4,1,4,3,75,4
animal organ morphogenesis,4,1,4,3,75,4
aromatic amino acid transport,4,1,4,3,75,4
bone mineralization,4,1,4,3,75,4
bud elongation involved in lung branching,4,1,4,3,75,4
calcium ion transmembrane transport,4,2,4,2,50,2
calcium-mediated signaling,4,1,4,3,75,4
cardiac muscle cell differentiation,4,1,4,3,75,4
cardiac muscle tissue regeneration,4,1,4,3,75,4
cell dedifferentiation,4,1,4,3,75,4
cellular response to amino acid starvation,4,1,4,3,75,4
cellular response to cold,4,1,4,3,75,4
cellular response to glucose starvation,4,1,4,3,75,4
cellular response to progesterone stimulus,4,1,4,3,75,4
cellular response to vascular endothelial growth factor stimulus,4,1,4,3,75,4
cerebrospinal fluid circulation,4,1,4,3,75,4
chondrocyte development,4,1,4,3,75,4
chondrocyte differentiation,4,1,4,3,75,4
collagen biosynthetic process,4,1,4,3,75,4
"dorsal trunk growth, open tracheal system",4,1,4,3,75,4
endocrine pancreas development,4,1,4,3,75,4
endoplasmic reticulum organization,4,1,4,3,75,4
endoplasmic reticulum unfolded protein response,4,1,4,3,75,4
enteric nervous system development,4,2,4,2,50,2
epithelial cilium movement involved in determination of left/right asymmetry,4,1,4,3,75,4
establishment of left/right asymmetry,4,1,4,3,75,4
establishment of mitotic spindle orientation,4,1,4,3,75,4
eye photoreceptor cell development,4,1,4,3,75,4
fat cell differentiation,4,1,4,3,75,4
inner ear morphogenesis,4,1,4,3,75,4
insulin-like growth factor receptor signaling pathway,4,1,4,3,75,4
intracellular protein transport,4,1,4,3,75,4
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,4,1,4,3,75,4
lactation,4,1,4,3,75,4
lens development in camera-type eye,4,2,4,2,50,2
lung growth,4,1,4,3,75,4
melanotic encapsulation of foreign target,4,1,4,3,75,4
myeloid cell differentiation,4,1,4,3,75,4
myeloid leukocyte differentiation,4,1,4,3,75,4
"negative regulation of CD4-positive, alpha-beta T cell differentiation",4,1,4,3,75,4
negative regulation of ERK1 and ERK2 cascade,4,1,4,3,75,4
negative regulation of Ras protein signal transduction,4,1,4,3,75,4
negative regulation of cell projection organization,4,1,4,3,75,4
negative regulation of epithelial to mesenchymal transition,4,1,4,3,75,4
negative regulation of fibroblast growth factor receptor signaling pathway,4,1,4,3,75,4
negative regulation of granulocyte differentiation,4,1,4,3,75,4
negative regulation of lens fiber cell differentiation,4,1,4,3,75,4
negative regulation of myelination,4,1,4,3,75,4
negative regulation of neurotrophin TRK receptor signaling pathway,4,1,4,3,75,4
negative regulation of synaptic assembly at neuromuscular junction,4,1,4,3,75,4
negative regulation of translation in response to endoplasmic reticulum stress,4,1,4,3,75,4
negative regulation of translation in response to stress,4,1,4,3,75,4
negative regulation of vascular endothelial growth factor signaling pathway,4,1,4,3,75,4
pancreas development,4,1,4,3,75,4
peripheral nervous system neuron development,4,1,4,3,75,4
"positive regulation of CD8-positive, alpha-beta T cell differentiation",4,1,4,3,75,4
positive regulation of autophagy,4,1,4,3,75,4
positive regulation of collagen biosynthetic process,4,1,4,3,75,4
positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,4,1,4,3,75,4
positive regulation of epidermal growth factor receptor signaling pathway,4,1,4,3,75,4
positive regulation of extracellular matrix organization,4,1,4,3,75,4
positive regulation of glutathione biosynthetic process,4,1,4,3,75,4
positive regulation of granulocyte differentiation,4,1,4,3,75,4
positive regulation of interleukin-2 production,4,1,4,3,75,4
positive regulation of neuron projection development,4,2,4,2,50,2
positive regulation of signal transduction,4,1,4,3,75,4
positive regulation of transcription by RNA polymerase I,4,1,4,3,75,4
positive regulation of vascular endothelial growth factor production,4,1,4,3,75,4
positive regulation of vascular endothelial growth factor signaling pathway,4,1,4,3,75,4
primitive erythrocyte differentiation,4,1,4,3,75,4
progesterone receptor signaling pathway,4,1,4,3,75,4
protein autophosphorylation,4,1,4,3,75,4
protein localization to non-motile cilium,4,1,4,3,75,4
regulation of cell differentiation,4,1,4,3,75,4
regulation of connective tissue replacement,4,1,4,3,75,4
regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation,4,1,4,3,75,4
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,4,1,4,3,75,4
regulation of fatty acid metabolic process,4,1,4,3,75,4
regulation of insulin receptor signaling pathway,4,1,4,3,75,4
regulation of neurogenesis,4,2,4,2,50,2
regulation of plasminogen activation,4,1,4,3,75,4
regulation of primitive erythrocyte differentiation,4,1,4,3,75,4
regulation of translational initiation,4,1,4,3,75,4
response to endoplasmic reticulum stress,4,1,4,3,75,4
response to estradiol,4,2,4,2,50,2
response to hypoxia,4,2,3,2,50,2
response to manganese-induced endoplasmic reticulum stress,4,1,4,3,75,4
response to nutrient levels,4,2,3,2,50,2
retina development in camera-type eye,4,2,4,2,50,2
supramolecular fiber organization,4,1,4,3,75,4
thyroid hormone transport,4,1,4,3,75,4
vascular endothelial growth factor production,4,1,4,3,75,4
vesicle-mediated transport,4,1,4,3,75,4
DNA replication initiation,3,2,3,1,33.33333333333333,1.5
"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",3,1,3,2,66.66666666666666,3
actin crosslink formation,3,1,3,2,66.66666666666666,3
actin filament bundle assembly,3,1,3,2,66.66666666666666,3
autophagic cell death,3,1,3,2,66.66666666666666,3
autophagy,3,1,3,2,66.66666666666666,3
cellular response to phosphate starvation,3,1,3,2,66.66666666666666,3
cotranslational protein targeting to membrane,3,1,3,2,66.66666666666666,3
endocytosis,3,3,3,0,0,1
establishment of localization in cell,3,2,3,1,33.33333333333333,1.5
fertilization,3,2,3,1,33.33333333333333,1.5
floor plate development,3,1,3,2,66.66666666666666,3
hair follicle development,3,1,3,2,66.66666666666666,3
intracellular phosphate ion homeostasis,3,1,3,2,66.66666666666666,3
keratinocyte proliferation,3,1,3,2,66.66666666666666,3
lipoprotein transport,3,2,3,1,33.33333333333333,1.5
methylation,3,1,3,2,66.66666666666666,3
negative regulation of glial cell proliferation,3,2,3,1,33.33333333333333,1.5
negative regulation of keratinocyte proliferation,3,1,3,2,66.66666666666666,3
negative regulation of skeletal muscle tissue development,3,1,3,2,66.66666666666666,3
negative regulation of stem cell proliferation,3,1,3,2,66.66666666666666,3
negative regulation of wound healing,3,1,3,2,66.66666666666666,3
neural crest formation,3,1,3,2,66.66666666666666,3
neuron projection development,3,2,3,1,33.33333333333333,1.5
oogenesis,3,1,3,2,66.66666666666666,3
osteoclast fusion,3,1,3,2,66.66666666666666,3
phosphate ion transmembrane transport,3,1,3,2,66.66666666666666,3
phosphate ion transport,3,1,3,2,66.66666666666666,3
plasma membrane organization,3,1,3,2,66.66666666666666,3
positive regulation of MAPK cascade,3,2,3,1,33.33333333333333,1.5
positive regulation of actin filament polymerization,3,1,3,2,66.66666666666666,3
positive regulation of integrin-mediated signaling pathway,3,2,3,1,33.33333333333333,1.5
prechordal plate formation,3,1,3,2,66.66666666666666,3
protein folding,3,2,3,1,33.33333333333333,1.5
"regulation of development, heterochronic",3,1,3,2,66.66666666666666,3
regulation of keratinocyte differentiation,3,1,3,2,66.66666666666666,3
skeletal muscle tissue development,3,2,3,1,33.33333333333333,1.5
stem cell proliferation,3,1,3,2,66.66666666666666,3
G1/S transition of mitotic cell cycle,2,1,2,1,50,2
GDF15-GFRAL signaling pathway,2,1,2,1,50,2
IRES-dependent viral translational initiation,2,1,2,1,50,2
L-cystine transport,2,1,2,1,50,2
Peyer's patch morphogenesis,2,1,2,1,50,2
T-helper 1 cell differentiation,2,1,2,1,50,2
T-helper 2 cell differentiation,2,1,2,1,50,2
acrosomal vesicle exocytosis,2,1,2,1,50,2
actin filament capping,2,1,2,1,50,2
actin filament fragmentation,2,1,2,1,50,2
actin filament polymerization,2,1,2,1,50,2
actin filament severing,2,1,2,1,50,2
aflatoxin metabolic process,2,1,2,1,50,2
antral ovarian follicle growth,2,1,2,1,50,2
artery morphogenesis,2,1,2,1,50,2
axonemal central apparatus assembly,2,2,1,0,0,1
binding of sperm to zona pellucida,2,1,2,1,50,2
blood vessel development,2,1,2,1,50,2
blood vessel maturation,2,1,2,1,50,2
branching involved in salivary gland morphogenesis,2,1,2,1,50,2
cAMP-mediated signaling,2,2,2,0,0,1
calcium ion export across plasma membrane,2,1,2,1,50,2
calcium ion homeostasis,2,1,2,1,50,2
calcium ion import across plasma membrane,2,1,2,1,50,2
calcium ion transport,2,1,2,1,50,2
calcium ion transport into cytosol,2,1,2,1,50,2
carnitine metabolic process,2,1,2,1,50,2
carotene catabolic process,2,1,2,1,50,2
carotene metabolic process,2,1,2,1,50,2
cell communication,2,1,2,1,50,2
cellular response to fatty acid,2,1,2,1,50,2
cellular response to insulin stimulus,2,1,2,1,50,2
cellular response to lipoprotein particle stimulus,2,1,2,1,50,2
cellular response to nutrient,2,1,2,1,50,2
cellular response to retinoic acid,2,1,2,1,50,2
cholesterol efflux,2,1,2,1,50,2
cholesterol homeostasis,2,1,2,1,50,2
cholesterol metabolic process,2,1,2,1,50,2
cholesterol transport,2,1,2,1,50,2
chromosome organization involved in meiotic cell cycle,2,1,2,1,50,2
cognition,2,1,2,1,50,2
dendrite regeneration,2,1,2,1,50,2
dextrin catabolic process,2,1,2,1,50,2
dorsal root ganglion development,2,1,2,1,50,2
eating behavior,2,1,2,1,50,2
embryonic digestive tract morphogenesis,2,1,2,1,50,2
embryonic epithelial tube formation,2,1,2,1,50,2
endoplasmic reticulum to Golgi vesicle-mediated transport,2,1,2,1,50,2
epithelial cilium movement involved in extracellular fluid movement,2,2,1,0,0,1
erythrocyte development,2,1,2,1,50,2
establishment of epithelial cell apical/basal polarity,2,1,2,1,50,2
fatty acid beta-oxidation,2,1,2,1,50,2
fatty acid metabolic process,2,1,2,1,50,2
galactose catabolic process,2,1,2,1,50,2
ganglioside catabolic process,2,1,2,1,50,2
glial cell migration,2,1,2,1,50,2
glial cell-derived neurotrophic factor receptor signaling pathway,2,1,2,1,50,2
glucose metabolic process,2,1,2,1,50,2
glycoprotein catabolic process,2,1,2,1,50,2
gonad development,2,1,2,1,50,2
hair cell differentiation,2,2,2,0,0,1
hard palate development,2,1,2,1,50,2
heme A biosynthetic process,2,1,2,1,50,2
heme B biosynthetic process,2,1,2,1,50,2
heme O biosynthetic process,2,1,2,1,50,2
heme biosynthetic process,2,1,2,1,50,2
hemoglobin biosynthetic process,2,1,2,1,50,2
histone mRNA metabolic process,2,1,2,1,50,2
homologous chromosome pairing at meiosis,2,1,2,1,50,2
innervation,2,1,2,1,50,2
intracellular calcium ion homeostasis,2,1,2,1,50,2
keratan sulfate proteoglycan catabolic process,2,1,2,1,50,2
learning,2,1,2,1,50,2
leukocyte migration,2,1,2,1,50,2
lipid metabolic process,2,1,2,1,50,2
lipoprotein biosynthetic process,2,1,2,1,50,2
lipoprotein catabolic process,2,1,2,1,50,2
lipoprotein metabolic process,2,1,2,1,50,2
liver regeneration,2,1,2,1,50,2
long-chain fatty acid metabolic process,2,1,2,1,50,2
long-term synaptic potentiation,2,1,2,1,50,2
low-density lipoprotein particle clearance,2,1,2,1,50,2
low-density lipoprotein particle remodeling,2,1,2,1,50,2
lutein catabolic process,2,1,2,1,50,2
lycopene catabolic process,2,1,2,1,50,2
maltose catabolic process,2,1,2,1,50,2
membrane protein proteolysis,2,1,2,1,50,2
memory,2,1,2,1,50,2
modulation of excitatory postsynaptic potential,2,1,2,1,50,2
morphogenesis of an epithelial sheet,2,1,2,1,50,2
muscle organ morphogenesis,2,1,2,1,50,2
negative regulation of T-helper 2 cell differentiation,2,1,2,1,50,2
negative regulation of binding of sperm to zona pellucida,2,1,2,1,50,2
negative regulation of metalloendopeptidase activity,2,1,2,1,50,2
negative regulation of neuron projection development,2,1,2,1,50,2
negative regulation of presynapse assembly,2,1,2,1,50,2
negative regulation of proteasomal ubiquitin-dependent protein catabolic process,2,1,2,1,50,2
neural crest cell migration,2,1,2,1,50,2
neuron cell-cell adhesion,2,1,2,1,50,2
neuron cellular homeostasis,2,1,2,1,50,2
neuron maturation,2,1,2,1,50,2
neuron migration,2,1,2,1,50,2
neutral amino acid transport,2,1,2,1,50,2
nuclear histone mRNA catabolic process,2,1,2,1,50,2
organ growth,2,1,2,1,50,2
outer dynein arm assembly,2,2,2,0,0,1
positive regulation of G1/S transition of mitotic cell cycle,2,1,2,1,50,2
positive regulation of Schwann cell migration,2,1,2,1,50,2
positive regulation of T cell proliferation,2,1,2,1,50,2
positive regulation of T-helper 1 cell differentiation,2,1,2,1,50,2
positive regulation of cell adhesion,2,1,2,1,50,2
positive regulation of cell adhesion mediated by integrin,2,1,2,1,50,2
positive regulation of cell differentiation,2,1,2,1,50,2
positive regulation of cell size,2,1,2,1,50,2
positive regulation of cholesterol storage,2,1,2,1,50,2
positive regulation of fatty acid beta-oxidation,2,1,2,1,50,2
positive regulation of humoral immune response,2,1,2,1,50,2
positive regulation of innate immune response,2,1,2,1,50,2
positive regulation of intracellular signal transduction,2,1,2,1,50,2
positive regulation of macrophage derived foam cell differentiation,2,1,2,1,50,2
positive regulation of metanephric glomerulus development,2,1,2,1,50,2
positive regulation of muscle cell differentiation,2,1,2,1,50,2
positive regulation of neuron maturation,2,1,2,1,50,2
positive regulation of organ growth,2,1,2,1,50,2
positive regulation of transforming growth factor beta receptor signaling pathway,2,1,2,1,50,2
positive regulation of tyrosine phosphorylation of STAT protein,2,2,2,0,0,1
prevention of polyspermy,2,1,2,1,50,2
protein acetylation,2,1,2,1,50,2
protein localization to cytoplasmic stress granule,2,1,2,1,50,2
protein stabilization,2,1,2,1,50,2
protoporphyrinogen IX biosynthetic process,2,1,2,1,50,2
receptor-mediated endocytosis,2,2,2,0,0,1
regulation of action potential firing pattern,2,1,2,1,50,2
regulation of axonogenesis,2,1,2,1,50,2
regulation of basement membrane organization,2,1,2,1,50,2
regulation of calcineurin-mediated signaling,2,1,2,1,50,2
regulation of canonical Wnt signaling pathway,2,1,2,1,50,2
regulation of cell migration involved in sprouting angiogenesis,2,1,2,1,50,2
regulation of cholesterol biosynthetic process,2,1,2,1,50,2
regulation of cytosolic calcium ion concentration,2,1,2,1,50,2
regulation of establishment of blood-brain barrier,2,1,2,1,50,2
regulation of fatty acid beta-oxidation,2,1,2,1,50,2
regulation of fatty acid oxidation,2,1,2,1,50,2
regulation of insulin secretion,2,1,2,1,50,2
regulation of protein localization,2,1,2,1,50,2
regulation of short-term neuronal synaptic plasticity,2,1,2,1,50,2
regulation of urine volume,2,1,2,1,50,2
response to Thyroglobulin triiodothyronine,2,1,2,1,50,2
response to alkaloid,2,1,2,1,50,2
response to axon injury,2,1,2,1,50,2
response to bile acid,2,1,2,1,50,2
response to cAMP,2,1,2,1,50,2
response to cobalt ion,2,1,2,1,50,2
response to corticosterone,2,1,2,1,50,2
response to cortisone,2,1,2,1,50,2
response to cytokine,2,1,2,1,50,2
response to estrogen,2,1,2,1,50,2
response to gonadotropin,2,1,2,1,50,2
response to herbicide,2,1,2,1,50,2
response to ischemia,2,1,2,1,50,2
response to methylmercury,2,1,2,1,50,2
response to nickel cation,2,1,2,1,50,2
response to pain,2,1,2,1,50,2
response to platinum ion,2,1,2,1,50,2
response to progesterone,2,1,2,1,50,2
response to purine-containing compound,2,1,2,1,50,2
response to redox state,2,1,2,1,50,2
response to steroid hormone,2,1,2,1,50,2
response to tetrachloromethane,2,1,2,1,50,2
response to vitamin E,2,1,2,1,50,2
retinal blood vessel morphogenesis,2,1,2,1,50,2
retinal metabolic process,2,1,2,1,50,2
sodium ion transmembrane transport,2,1,2,1,50,2
somitogenesis,2,2,2,0,0,1
starch catabolic process,2,1,2,1,50,2
synapse organization,2,1,2,1,50,2
tRNA 3'-end processing,2,1,2,1,50,2
tRNA 5'-leader removal,2,1,2,1,50,2
tRNA export from nucleus,2,1,2,1,50,2
tRNA modification,2,1,2,1,50,2
tRNA processing,2,1,2,1,50,2
telomere maintenance,2,1,2,1,50,2
triglyceride metabolic process,2,1,2,1,50,2
triglyceride mobilization,2,1,2,1,50,2
ureter maturation,2,1,2,1,50,2
ureteric bud development,2,1,2,1,50,2
vasculature development,2,1,2,1,50,2
xanthophyll catabolic process,2,1,2,1,50,2
zeaxanthin catabolic process,2,1,2,1,50,2
'de novo' cotranslational protein folding,1,1,1,0,0,1
10-formyltetrahydrofolate catabolic process,1,1,1,0,0,1
3'-UTR-mediated mRNA destabilization,1,1,1,0,0,1
B cell differentiation,1,1,1,0,0,1
DNA replication,1,1,1,0,0,1
DNA strand elongation involved in DNA replication,1,1,1,0,0,1
RNA 3'-end processing,1,1,1,0,0,1
RNA export from nucleus,1,1,1,0,0,1
Rho protein signal transduction,1,1,1,0,0,1
T cell differentiation,1,1,1,0,0,1
acetate biosynthetic process,1,1,1,0,0,1
acetyl-CoA biosynthetic process,1,1,1,0,0,1
acetyl-CoA biosynthetic process from acetate,1,1,1,0,0,1
actin filament organization,1,1,1,0,0,1
activation of Janus kinase activity,1,1,1,0,0,1
activation of adenylate cyclase activity,1,1,1,0,0,1
adenylate cyclase-activating adrenergic receptor signaling pathway,1,1,1,0,0,1
anatomical structure morphogenesis,1,1,1,0,0,1
anterior/posterior pattern specification,1,1,1,0,0,1
aorta development,1,1,1,0,0,1
apoptotic DNA fragmentation,1,1,1,0,0,1
associative learning,1,1,1,0,0,1
autophagosome maturation,1,1,1,0,0,1
axon extension involved in axon guidance,1,1,1,0,0,1
biosynthetic process,1,1,1,0,0,1
biphenyl catabolic process,1,1,1,0,0,1
blood coagulation,1,1,1,0,0,1
brain development,1,1,1,0,0,1
branching morphogenesis of an epithelial tube,1,1,1,0,0,1
branchiomotor neuron axon guidance,1,1,1,0,0,1
carbohydrate transport,1,1,1,0,0,1
cell morphogenesis,1,1,1,0,0,1
cell surface receptor protein tyrosine phosphatase signaling pathway,1,1,1,0,0,1
cellular response to dsDNA,1,1,1,0,0,1
cellular response to ethanol,1,1,1,0,0,1
cellular response to glucocorticoid stimulus,1,1,1,0,0,1
cellular response to growth hormone stimulus,1,1,1,0,0,1
cellular response to phorbol 13-acetate 12-myristate,1,1,1,0,0,1
cellular response to testosterone stimulus,1,1,1,0,0,1
central nervous system development,1,1,1,0,0,1
central nervous system neuron development,1,1,1,0,0,1
central nervous system projection neuron axonogenesis,1,1,1,0,0,1
cilium movement,1,1,1,0,0,1
circulatory system development,1,1,1,0,0,1
coronary artery morphogenesis,1,1,1,0,0,1
coronary vasculature development,1,1,1,0,0,1
cysteine transmembrane transport,1,1,1,0,0,1
cytoskeleton organization,1,1,1,0,0,1
definitive hemopoiesis,1,1,1,0,0,1
dentate gyrus development,1,1,1,0,0,1
diol metabolic process,1,1,1,0,0,1
dorsal root ganglion morphogenesis,1,1,1,0,0,1
double-strand break repair via break-induced replication,1,1,1,0,0,1
embryonic camera-type eye morphogenesis,1,1,1,0,0,1
embryonic eye morphogenesis,1,1,1,0,0,1
embryonic neurocranium morphogenesis,1,1,1,0,0,1
embryonic skeletal system development,1,1,1,0,0,1
endosome to lysosome transport,1,1,1,0,0,1
enucleate erythrocyte differentiation,1,1,1,0,0,1
establishment of protein localization,1,1,1,0,0,1
establishment or maintenance of cell polarity,1,1,1,0,0,1
estrogen metabolic process,1,1,1,0,0,1
extraocular skeletal muscle development,1,1,1,0,0,1
eye development,1,1,1,0,0,1
eye morphogenesis,1,1,1,0,0,1
facial nerve structural organization,1,1,1,0,0,1
facioacoustic ganglion development,1,1,1,0,0,1
female somatic sex determination,1,1,1,0,0,1
fibrinolysis,1,1,1,0,0,1
fibronectin fibril organization,1,1,1,0,0,1
folate import across plasma membrane,1,1,1,0,0,1
forebrain development,1,1,1,0,0,1
forebrain radial glial cell differentiation,1,1,1,0,0,1
gap junction-mediated intercellular transport,1,1,1,0,0,1
germinal center B cell differentiation,1,1,1,0,0,1
glomerular filtration,1,1,1,0,0,1
gonadotrophin-releasing hormone neuronal migration to the hypothalamus,1,1,1,0,0,1
granulocyte differentiation,1,1,1,0,0,1
granulosa cell differentiation,1,1,1,0,0,1
histone mRNA catabolic process,1,1,1,0,0,1
homeostasis of number of retina cells,1,1,1,0,0,1
homotypic cell-cell adhesion,1,1,1,0,0,1
hormone catabolic process,1,1,1,0,0,1
host-mediated regulation of intestinal microbiota composition,1,1,1,0,0,1
hyaluronan catabolic process,1,1,1,0,0,1
inclusion body assembly,1,1,1,0,0,1
inner ear auditory receptor cell differentiation,1,1,1,0,0,1
inner ear receptor cell differentiation,1,1,1,0,0,1
interferon-mediated signaling pathway,1,1,1,0,0,1
interstrand cross-link repair,1,1,1,0,0,1
intracellular distribution of mitochondria,1,1,1,0,0,1
intramanchette transport,1,1,1,0,0,1
lamellipodium assembly,1,1,1,0,0,1
lipopolysaccharide-mediated signaling pathway,1,1,1,0,0,1
lung alveolus development,1,1,1,0,0,1
mRNA destabilization,1,1,1,0,0,1
mRNA stabilization,1,1,1,0,0,1
maintenance of animal organ identity,1,1,1,0,0,1
maintenance of lens transparency,1,1,1,0,0,1
maintenance of protein complex location,1,1,1,0,0,1
manchette assembly,1,1,1,0,0,1
mating,1,1,1,0,0,1
megakaryocyte differentiation,1,1,1,0,0,1
meiotic chromosome condensation,1,1,1,0,0,1
melanin biosynthetic process,1,1,1,0,0,1
mesenchymal cell proliferation,1,1,1,0,0,1
mesenchymal cell proliferation involved in lung development,1,1,1,0,0,1
metal ion transport,1,1,1,0,0,1
microtubule-based movement,1,1,1,0,0,1
mitochondrial RNA 3'-end processing,1,1,1,0,0,1
mitochondrial fission,1,1,1,0,0,1
mitochondrial fragmentation involved in apoptotic process,1,1,1,0,0,1
mitochondrion organization,1,1,1,0,0,1
mitotic chromosome condensation,1,1,1,0,0,1
mitotic metaphase chromosome alignment,1,1,1,0,0,1
mitotic nuclear membrane reassembly,1,1,1,0,0,1
mitotic spindle assembly,1,1,1,0,0,1
monocyte differentiation,1,1,1,0,0,1
mucociliary clearance,1,1,1,0,0,1
mucosal immune response,1,1,1,0,0,1
myeloid progenitor cell differentiation,1,1,1,0,0,1
natural killer cell differentiation,1,1,1,0,0,1
negative chemotaxis,1,1,1,0,0,1
negative regulation of NF-kappaB transcription factor activity,1,1,1,0,0,1
negative regulation of T-helper 17 cell lineage commitment,1,1,1,0,0,1
negative regulation of cAMP/PKA signal transduction,1,1,1,0,0,1
negative regulation of cGMP-mediated signaling,1,1,1,0,0,1
negative regulation of forebrain neuron differentiation,1,1,1,0,0,1
negative regulation of interleukin-12 production,1,1,1,0,0,1
negative regulation of melanin biosynthetic process,1,1,1,0,0,1
negative regulation of mesenchymal cell proliferation,1,1,1,0,0,1
negative regulation of mesenchymal cell proliferation involved in lung development,1,1,1,0,0,1
negative regulation of natural killer cell activation,1,1,1,0,0,1
negative regulation of neuroblast proliferation,1,1,1,0,0,1
negative regulation of neuron differentiation,1,1,1,0,0,1
negative regulation of oligodendrocyte differentiation,1,1,1,0,0,1
