gene_id,hit,evalue,score,group_id
FUN_035383-T1,XP_022783430.1,3.5899999999999994e-163,536,OG_12837
FUN_035431-T1,XP_022804012.1,2.32e-27,107,OG_12844
FUN_035728-T2,XP_022803524.1,5.27e-61,197,OG_12878
FUN_035733-T1,XP_022803524.1,1.63e-54,179,OG_12880
FUN_035808-T1,XP_022798258.1,0,684,OG_12888
FUN_035809-T1,XP_022784808.1,0,941,OG_12889
FUN_036236-T1,XP_022804012.1,4.9e-24,101,OG_12927
FUN_036876-T1,XP_022803207.1,2.25e-33,135,OG_12952
FUN_037103-T1,XP_022807143.1,6.1599999999999995e-24,93.2,OG_12972
FUN_037296-T1,XP_022780694.1,3.66e-102,298,OG_12990
FUN_037479-T1,XP_022795459.1,1.0099999999999998e-174,532,OG_13013
FUN_037510-T2,XP_022803851.1,0,1159,OG_13016
FUN_037679-T1,XP_022783430.1,1.0500000000000001e-58,219,OG_13026
FUN_037730-T1,XP_022804012.1,2.1e-25,102,OG_13031
FUN_037735-T1,XP_022804012.1,4.1400000000000003e-26,103,OG_13032
FUN_037736-T1,XP_022804012.1,7.56e-27,106,OG_13033
FUN_037940-T1,XP_022795459.1,0,772,OG_13050
FUN_038046-T1,XP_022783044.1,7.56e-45,158,OG_13059
FUN_038124-T1,XP_022795459.1,0,769,OG_13066
FUN_038506-T1,XP_022790555.1,1.9699999999999998e-118,360,OG_13091
FUN_039285-T1,XP_022790556.1,2.6e-94,297,OG_13149
FUN_039330-T1,XP_022807807.1,4.85e-34,136,OG_13153
FUN_039344-T1,XP_022807807.1,8.53e-36,128,OG_13154
FUN_039881-T1,XP_022803851.1,0,621,OG_13190
FUN_039882-T1,XP_022803851.1,0,600,OG_13191
FUN_039969-T1,XP_022798902.1,3.31e-29,122,OG_13197
FUN_040002-T1,XP_022810585.1,1.6600000000000001e-21,95.5,OG_13201
FUN_040120-T1,XP_022806326.1,1.1999999999999999e-39,145,OG_13211
FUN_040159-T1,XP_022810585.1,3.72e-36,140,OG_13214
FUN_040162-T1,XP_022810585.1,3.59e-22,94,OG_13215
FUN_040419-T1,XP_022807807.1,2.3e-39,152,OG_13239
FUN_041831-T1,XP_022780694.1,5.4e-53,181,OG_13334
FUN_043166-T1,XP_022798902.1,2.5299999999999998e-48,183,OG_13428
FUN_043348-T1,XP_022803851.1,0,628,OG_13451
FUN_043460-T1,XP_022790555.1,1.0499999999999998e-37,139,OG_13465
FUN_043461-T1,XP_022790556.1,1.17e-32,126,OG_13466
FUN_043576-T1,XP_022780694.1,7.27e-33,124,OG_13481
FUN_043594-T1,XP_022780694.1,1.4599999999999998e-37,136,OG_13484
FUN_044427-T1,XP_022786864.1,1.79e-22,90.1,OG_13518
FUN_044454-T1,XP_022786864.1,6.76e-42,147,OG_13526
FUN_044472-T1,XP_022778283.1,6.42e-54,186,OG_13529
FUN_044691-T1,XP_022778283.1,5.65e-82,267,OG_13566
FUN_044863-T1,XP_022786864.1,4.33e-48,160,OG_13594
FUN_045044-T1,XP_022786864.1,1.53e-43,149,OG_13639
FUN_045089-T1,XP_022780694.1,3.1099999999999996e-52,169,OG_13647
FUN_045207-T1,XP_022778283.1,1.36e-82,269,OG_13667
FUN_045229-T1,XP_022786864.1,1.85e-35,125,OG_13673
FUN_045267-T1,XP_022778283.1,3.97e-93,300,OG_13681
FUN_045272-T1,XP_022786864.1,2.9e-36,127,OG_13684
FUN_045277-T2,XP_022798902.1,2.88e-62,223,OG_13685
FUN_045306-T1,XP_022786864.1,1.44e-49,167,OG_13691
FUN_045369-T1,XP_022807256.1,0,978,OG_13702
FUN_045684-T1,XP_022778283.1,2.04e-39,144,OG_13752
FUN_000274-T2,XP_022794736.1,5.359999999999999e-32,122,OG_13792
FUN_001809-T1,XP_022801331.1,4.3e-76,229,OG_13877
FUN_001850-T1,XP_022803207.1,2.2199999999999998e-39,153,OG_13882
FUN_001921-T2,XP_022780694.1,2.83e-100,297,OG_13886
FUN_002435-T1,XP_022795459.1,0,776,OG_13910
FUN_002648-T1,XP_022783430.1,4.36e-136,447,OG_13916
FUN_005266-T1,XP_022785805.1,5.09e-25,96.7,OG_14012
FUN_005906-T1,XP_022785723.1,9.789999999999999e-157,495,OG_14037
FUN_005907-T1,XP_022785723.1,0,925,OG_14038
FUN_006473-T1,XP_022790555.1,1.21e-67,222,OG_14066
FUN_007068-T1,XP_022803524.1,5.86e-35,127,OG_14094
FUN_007651-T1,XP_022782703.1,7.149999999999999e-42,163,OG_14100
FUN_008320-T1,XP_022780694.1,2.01e-71,227,OG_14140
FUN_008708-T1,XP_022803851.1,2.1e-44,146,OG_14156
FUN_008719-T1,XP_022808576.1,5.2799999999999996e-40,137,OG_14158
FUN_009432-T1,XP_022803808.1,8.02e-44,150,OG_14180
FUN_009861-T1,XP_022803808.1,3.3699999999999997e-74,237,OG_14189
FUN_010569-T1,XP_022807807.1,0,722,OG_14206
FUN_012010-T1,XP_022783323.1,3.1699999999999997e-38,128,OG_14257
FUN_012114-T2,XP_022783430.1,1.77e-97,326,OG_14262
FUN_012375-T1,XP_022798258.1,1.37e-22,99.8,OG_14276
FUN_012397-T2,XP_022785540.1,9.749999999999999e-153,461,OG_14279
FUN_012614-T1,XP_022783430.1,1.1799999999999999e-30,122,OG_14295
FUN_013328-T2,XP_022789591.1,9.039999999999998e-101,321,OG_14322
FUN_014580-T1,XP_022785540.1,5.769999999999999e-32,123,OG_14365
FUN_014813-T1,XP_022780694.1,5.41e-50,168,OG_14380
FUN_014817-T2,XP_022794736.1,3.61e-115,383,OG_14381
FUN_014819-T1,XP_022785540.1,6.280000000000001e-26,110,OG_14382
FUN_015337-T1,XP_022803524.1,2.5999999999999997e-74,238,OG_14407
FUN_015348-T2,XP_022803524.1,2.83e-98,300,OG_14408
FUN_016356-T1,XP_022798902.1,2.47e-62,228,OG_14455
FUN_017790-T1,XP_022810585.1,2.7899999999999997e-43,167,OG_14500
FUN_017857-T1,XP_022803524.1,4.799999999999999e-55,181,OG_14505
FUN_017937-T1,XP_022789932.1,6.61e-82,266,OG_14514
FUN_018864-T1,XP_022798902.1,6.589999999999999e-145,478,OG_14540
FUN_019026-T1,XP_022808646.1,0,8060,OG_14547
FUN_019333-T1,XP_022794736.1,7.429999999999999e-99,320,OG_14563
FUN_022095-T1,XP_022806326.1,7.68e-26,103,OG_14588
FUN_022489-T1,XP_022806326.1,4.48e-34,124,OG_14612
FUN_022534-T2,XP_022808152.1,4.5e-93,288,OG_14615
FUN_022669-T1,XP_022782704.1,0,1726,OG_14623
FUN_022760-T1,XP_022783430.1,2e-81,273,OG_14626
FUN_022798-T3,XP_022798258.1,6.34e-83,301,OG_14627
FUN_023403-T1,XP_022780694.1,1.25e-56,187,OG_14674
FUN_023470-T1,XP_022808048.1,5.63e-53,172,OG_14681
FUN_023594-T1,XP_022780694.1,5.75e-47,156,OG_14685
FUN_024225-T1,XP_022803207.1,4.6799999999999996e-35,139,OG_14710
FUN_024326-T1,XP_022803207.1,5.73e-32,129,OG_14711
FUN_025336-T1,XP_022808576.1,5.7599999999999994e-34,120,OG_14752
FUN_025521-T1,XP_022803207.1,2.28e-25,108,OG_14763
FUN_025984-T1,XP_022779335.1,0,1167,OG_14790
FUN_026008-T1,XP_022779335.1,5.56e-131,437,OG_14792
FUN_026010-T1,XP_022779335.1,7.109999999999999e-138,461,OG_14793
FUN_026203-T1,XP_022783430.1,1.09e-22,103,OG_14803
FUN_026231-T1,XP_022790556.1,9.29e-50,182,OG_14804
FUN_028493-T1,XP_022791567.1,0,902,OG_14889
FUN_028799-T2,XP_022808576.1,1.51e-38,131,OG_14901
FUN_028988-T1,XP_022808048.1,3.8299999999999996e-109,313,OG_14915
FUN_029379-T1,XP_022807807.1,1.52e-39,153,OG_14942
FUN_031361-T1,XP_022807807.1,1.27e-34,124,OG_14994
FUN_031702-T1,XP_022782703.1,2.51e-53,201,OG_15009
FUN_031843-T1,XP_022803851.1,3.19e-51,186,OG_15020
FUN_031845-T1,XP_022803851.1,3.89e-42,155,OG_15021
FUN_032524-T1,XP_022810585.1,1.2e-24,105,OG_15060
FUN_032682-T1,XP_022808163.1,1.2299999999999998e-99,283,OG_15070
FUN_033015-T1,XP_022810585.1,3.17e-22,97.4,OG_15086
FUN_033017-T1,XP_022810585.1,1.34e-22,97.8,OG_15087
FUN_033043-T2,XP_022794736.1,7.079999999999999e-37,148,OG_15089
FUN_034203-T1,XP_022780049.1,0,1714,OG_15121
FUN_034365-T1,XP_022785805.1,3.32e-28,106,OG_15137
FUN_034403-T1,XP_022806326.1,1.04e-53,186,OG_15140
FUN_035910-T1,XP_022806664.1,1.28e-32,120,OG_15208
FUN_037939-T1,XP_022795459.1,0,767,OG_15283
FUN_038219-T1,XP_022782704.1,1.7799999999999998e-61,229,OG_15303
FUN_038364-T1,XP_022782704.1,1.25e-40,158,OG_15312
FUN_038814-T1,XP_022781731.1,0,749,OG_15334
FUN_039983-T1,XP_022780694.1,4.96e-56,175,OG_15374
FUN_040013-T1,XP_022788730.1,3.02e-53,171,OG_15375
FUN_040121-T1,XP_022806326.1,6.64e-44,158,OG_15383
FUN_041813-T1,XP_022797264.1,0,1040,OG_15459
FUN_041831-T2,XP_022780694.1,3.2799999999999994e-55,188,OG_15462
FUN_043547-T1,XP_022788227.1,0,1302,OG_15544
FUN_043596-T1,XP_022780694.1,6.2499999999999995e-34,123,OG_15550
FUN_043637-T1,XP_022780690.1,7.09e-47,157,OG_15551
FUN_044537-T1,XP_022778283.1,8.86e-36,131,OG_15569
FUN_044981-T1,XP_022807256.1,3.56e-92,295,OG_15594
FUN_045117-T1,XP_022778283.1,1.69e-40,146,OG_15604
FUN_045305-T1,XP_022786864.1,3.87e-47,154,OG_15617
FUN_045383-T1,XP_022786864.1,1.6700000000000001e-22,85.5,OG_15627
FUN_045585-T1,XP_022785540.1,6.3799999999999996e-24,97.4,OG_15644
FUN_045622-T1,XP_022778283.1,3.39e-49,172,OG_15648
FUN_045733-T1,XP_022778283.1,1.12e-53,186,OG_15655
Peve_00000174,XP_022803207.1,5.9300000000000004e-36,142,OG_15682
Peve_00001069,XP_022800921.1,1.0300000000000001e-29,96.7,OG_15738
Peve_00001250,XP_022794736.1,9.539999999999999e-30,116,OG_15754
Peve_00001303,XP_022806326.1,2.0199999999999998e-56,195,OG_15759
Peve_00001368,XP_022803207.1,5.7799999999999995e-38,150,OG_15761
Peve_00001974,XP_022788227.1,0,1175,OG_15796
Peve_00002251,XP_022807807.1,2.6e-35,131,OG_15815
Peve_00002255,XP_022790556.1,1.2299999999999999e-158,468,OG_15816
Peve_00002488,XP_022803207.1,3.67e-26,106,OG_15831
Peve_00003205,XP_022804012.1,7.799999999999999e-55,201,OG_15877
Peve_00003739,XP_022807256.1,2.46e-27,111,OG_15906
Peve_00003753,XP_022783430.1,1.7200000000000001e-29,120,OG_15907
Peve_00003920,XP_022786864.1,6.09e-38,131,OG_15920
Peve_00005199,XP_022783430.1,0,768,OG_16000
Peve_00005475,XP_022786864.1,1.18e-70,222,OG_16011
Peve_00006922,XP_022782704.1,1.41e-39,157,OG_16092
Peve_00007506,XP_022782703.1,1.31e-54,206,OG_16122
Peve_00007746,XP_022783952.1,2.17e-81,240,OG_16139
Peve_00007857,XP_022790555.1,3.76e-72,249,OG_16145
Peve_00008076,XP_022783952.1,1.6899999999999998e-32,120,OG_16158
Peve_00008079,XP_022783952.1,3.31e-28,109,OG_16159
Peve_00008841,XP_022808646.1,0,1971,OG_16192
Peve_00009143,XP_022788730.1,9.51e-65,211,OG_16209
Peve_00010264,XP_022794736.1,9.83e-91,326,OG_16270
Peve_00010372,XP_022783044.1,3.64e-38,140,OG_16279
Peve_00010574,XP_022782704.1,6.88e-49,187,OG_16289
Peve_00011002,XP_022782703.1,1.6899999999999998e-56,212,OG_16307
Peve_00011819,XP_022794736.1,5.87e-46,170,OG_16359
Peve_00012086,XP_022803207.1,0,1780,OG_16380
Peve_00012112,XP_022808084.1,0,723,OG_16383
Peve_00012296,XP_022780694.1,4.88e-79,243,OG_16389
Peve_00013516,XP_022783044.1,2.46e-34,127,OG_16469
Peve_00013808,XP_022783952.1,5.449999999999999e-66,202,OG_16485
Peve_00013849,XP_022805470.1,4.8799999999999995e-161,521,OG_16489
Peve_00014651,XP_022803212.1,0,516,OG_16539
Peve_00014736,XP_022780694.1,1.68e-95,282,OG_16544
Peve_00014853,XP_022790555.1,1.26e-69,242,OG_16548
Peve_00015353,XP_022803207.1,5.259999999999999e-89,295,OG_16573
Peve_00015572,XP_022780303.1,1.37e-28,119,OG_16585
Peve_00015573,XP_022810585.1,8.660000000000001e-26,107,OG_16586
Peve_00015650,XP_022781364.1,0,872,OG_16592
Peve_00016142,XP_022807807.1,1.33e-28,117,OG_16627
Peve_00016632,XP_022790556.1,1.12e-48,179,OG_16654
Peve_00016783,XP_022807807.1,6.350000000000001e-21,94.4,OG_16665
Peve_00017425,XP_022796981.1,4.02e-22,83.2,OG_16707
Peve_00017902,XP_022794736.1,7.46e-25,106,OG_16731
Peve_00018146,XP_022795459.1,0,779,OG_16747
Peve_00018993,XP_022798258.1,5.259999999999999e-119,420,OG_16789
Peve_00020005,XP_022783430.1,9.259999999999999e-56,198,OG_16844
Peve_00020287,XP_022780694.1,9.09e-113,355,OG_16856
Peve_00020388,XP_022783044.1,9.590000000000001e-44,155,OG_16862
Peve_00020542,XP_022808163.1,1.87e-57,188,OG_16879
Peve_00020608,XP_022779335.1,3.67e-123,411,OG_16883
Peve_00022132,XP_022807807.1,4.69e-40,155,OG_16944
Peve_00022747,XP_022807807.1,9.36e-33,132,OG_16980
Peve_00023182,XP_022788730.1,1.84e-49,172,OG_17006
Peve_00023284,XP_022790556.1,1.4599999999999996e-106,329,OG_17012
Peve_00023311,XP_022800921.1,3.1499999999999996e-94,262,OG_17014
Peve_00023327,XP_022798902.1,3.3e-45,167,OG_17015
Peve_00023470,XP_022785540.1,6.49e-25,106,OG_17027
Peve_00023719,XP_022807807.1,6.07e-43,164,OG_17045
Peve_00023981,XP_022786918.1,3.16e-40,145,OG_17058
Peve_00024627,XP_022780694.1,5.430000000000001e-59,185,OG_17098
Peve_00024679,XP_022782704.1,5.98e-41,160,OG_17100
Peve_00024781,XP_022810585.1,0,672,OG_17106
Peve_00025114,XP_022794736.1,1.96e-24,103,OG_17124
Peve_00025727,XP_022788730.1,1.87e-58,182,OG_17150
Peve_00025819,XP_022801359.1,1.67e-51,166,OG_17157
Peve_00026118,XP_022803207.1,1.15e-44,170,OG_17176
Peve_00026244,XP_022807256.1,4.8799999999999994e-24,100,OG_17186
Peve_00026782,XP_022780694.1,5.06e-41,135,OG_17222
Peve_00027101,XP_022782704.1,9.34e-51,194,OG_17245
Peve_00027793,XP_022788730.1,1.61e-50,167,OG_17285
Peve_00027836,XP_022780694.1,1.8999999999999997e-48,161,OG_17286
Peve_00028852,XP_022783044.1,2.96e-45,154,OG_17347
Peve_00029697,XP_022789591.1,4.529999999999999e-112,352,OG_17389
Peve_00030921,XP_022786864.1,1.4599999999999998e-52,171,OG_17453
Peve_00031620,XP_022782704.1,3.0499999999999993e-55,209,OG_17479
Peve_00031656,XP_022785723.1,4.38e-71,251,OG_17483
Peve_00031834,XP_022803851.1,2.96e-156,516,OG_17497
Peve_00032354,XP_022801359.1,2.94e-73,222,OG_17533
Peve_00032707,XP_022780694.1,2.3999999999999997e-46,156,OG_17556
Peve_00033140,XP_022808089.1,1.7100000000000001e-29,114,OG_17591
Peve_00033182,XP_022808048.1,2.58e-79,250,OG_17596
Peve_00033297,XP_022783430.1,2.0999999999999998e-67,247,OG_17600
Peve_00034068,XP_022803207.1,2.1e-24,102,OG_17640
Peve_00034212,XP_022783430.1,1.7799999999999998e-37,140,OG_17646
Peve_00034555,XP_022810585.1,6.630000000000001e-26,108,OG_17666
Peve_00036018,XP_022799127.1,2.1799999999999998e-54,179,OG_17739
Peve_00036268,XP_022803207.1,3.4799999999999997e-38,152,OG_17751
Peve_00036861,XP_022810585.1,3.9899999999999997e-41,158,OG_17800
Peve_00036953,XP_022807807.1,5.719999999999999e-34,134,OG_17806
Peve_00037371,XP_022790556.1,3.07e-78,249,OG_17841
Peve_00037536,XP_022804012.1,1.65e-25,107,OG_17849
Peve_00039185,XP_022800921.1,3.34e-51,154,OG_17961
Peve_00040879,XP_022806326.1,1.45e-41,149,OG_18057
Peve_00040882,XP_022806326.1,3.5999999999999997e-34,130,OG_18058
Peve_00041156,XP_022792212.1,2.6300000000000002e-27,99,OG_18078
Peve_00041906,XP_022803207.1,2.61e-33,133,OG_18118
Peve_00042634,XP_022786864.1,1.55e-36,132,OG_18159
Peve_00043034,XP_022806326.1,1.01e-36,135,OG_18179
Peve_00043691,XP_022780694.1,1.0499999999999997e-55,177,OG_18223
Peve_00043693,XP_022780694.1,1.35e-63,199,OG_18224
Peve_00043713,XP_022808163.1,1.3499999999999999e-48,154,OG_18229
Peve_00044195,XP_022786864.1,1.5399999999999998e-35,129,OG_18258
Peve_00044240,XP_022780694.1,1.61e-37,126,OG_18262
Peve_00044241,XP_022782703.1,3.75e-53,201,OG_18263
Peve_00044434,XP_022810585.1,6.26e-39,153,OG_18275
Peve_00044637,XP_022780694.1,1.6499999999999999e-28,110,OG_18285
Peve_00045329,XP_022790556.1,1e-41,151,OG_18325
