go_term,total_occurrences,unique_group_ids,n_components,redundant_occurrences,redundancy_pct,avg_times_per_group
double-strand break repair via homologous recombination,1,1,1,0,0,1
early endosome to recycling endosome transport,1,1,1,0,0,1
ectodermal placode formation,1,1,1,0,0,1
embryonic epithelial tube formation,1,1,1,0,0,1
embryonic organ development,1,1,1,0,0,1
embryonic skeletal joint development,1,1,1,0,0,1
embryonic skeletal system morphogenesis,1,1,1,0,0,1
endocardial cell differentiation,1,1,1,0,0,1
endochondral bone growth,1,1,1,0,0,1
endochondral ossification,1,1,1,0,0,1
endoderm development,1,1,1,0,0,1
enteric nervous system development,1,1,1,0,0,1
epithelial cell migration,1,1,1,0,0,1
epithelial to mesenchymal transition,1,1,1,0,0,1
epithelial to mesenchymal transition involved in endocardial cushion formation,1,1,1,0,0,1
epithelial tube branching involved in lung morphogenesis,1,1,1,0,0,1
establishment of cell polarity,1,1,1,0,0,1
establishment of centrosome localization,1,1,1,0,0,1
establishment of epithelial cell polarity,1,1,1,0,0,1
establishment or maintenance of epithelial cell apical/basal polarity,1,1,1,0,0,1
extraocular skeletal muscle development,1,1,1,0,0,1
extrinsic apoptotic signaling pathway,1,1,1,0,0,1
extrinsic apoptotic signaling pathway via death domain receptors,1,1,1,0,0,1
eye development,1,1,1,0,0,1
fear response,1,1,1,0,0,1
female gonad morphogenesis,1,1,1,0,0,1
fibroblast apoptotic process,1,1,1,0,0,1
fibronectin fibril organization,1,1,1,0,0,1
fin regeneration,1,1,1,0,0,1
fluid transport,1,1,1,0,0,1
focal adhesion assembly,1,1,1,0,0,1
folic acid-containing compound metabolic process,1,1,1,0,0,1
forebrain development,1,1,1,0,0,1
formation of anatomical boundary,1,1,1,0,0,1
gamete generation,1,1,1,0,0,1
gastrulation,1,1,1,0,0,1
gastrulation with mouth forming second,1,1,1,0,0,1
glandular epithelial cell differentiation,1,1,1,0,0,1
glial cell-derived neurotrophic factor receptor signaling pathway,1,1,1,0,0,1
glomerular basement membrane development,1,1,1,0,0,1
glutamate biosynthetic process,1,1,1,0,0,1
glutamate catabolic process,1,1,1,0,0,1
glutamine metabolic process,1,1,1,0,0,1
glycosaminoglycan biosynthetic process,1,1,1,0,0,1
hair follicle morphogenesis,1,1,1,0,0,1
heart contraction,1,1,1,0,0,1
heart field specification,1,1,1,0,0,1
heart trabecula formation,1,1,1,0,0,1
hematopoietic stem cell homeostasis,1,1,1,0,0,1
hematopoietic stem cell migration to bone marrow,1,1,1,0,0,1
hematopoietic stem cell proliferation,1,1,1,0,0,1
heparan sulfate proteoglycan biosynthetic process,1,1,1,0,0,1
heparin proteoglycan biosynthetic process,1,1,1,0,0,1
hepatocyte differentiation,1,1,1,0,0,1
humoral immune response,1,1,1,0,0,1
hypersensitivity,1,1,1,0,0,1
inflammatory response,1,1,1,0,0,1
innate immune response,1,1,1,0,0,1
innate immune response in mucosa,1,1,1,0,0,1
innervation,1,1,1,0,0,1
integrin activation,1,1,1,0,0,1
integrin-mediated signaling pathway,1,1,1,0,0,1
interleukin-6-mediated signaling pathway,1,1,1,0,0,1
interneuron migration,1,1,1,0,0,1
intracellular iron ion homeostasis,1,1,1,0,0,1
intrinsic apoptotic signaling pathway,1,1,1,0,0,1
iron ion transport,1,1,1,0,0,1
killing of cells of another organism,1,1,1,0,0,1
left ventricular cardiac muscle tissue morphogenesis,1,1,1,0,0,1
leukocyte homeostasis,1,1,1,0,0,1
leukocyte tethering or rolling,1,1,1,0,0,1
limb development,1,1,1,0,0,1
limb joint morphogenesis,1,1,1,0,0,1
long-term memory,1,1,1,0,0,1
lymphocyte adhesion to endothelial cell of high endothelial venule,1,1,1,0,0,1
lymphocyte migration into lymphoid organs,1,1,1,0,0,1
maternal process involved in female pregnancy,1,1,1,0,0,1
melanotic encapsulation of foreign target,1,1,1,0,0,1
membrane invagination,1,1,1,0,0,1
membrane protein proteolysis,1,1,1,0,0,1
mesenchymal cell differentiation involved in bone development,1,1,1,0,0,1
mesendoderm development,1,1,1,0,0,1
metanephric mesenchyme morphogenesis,1,1,1,0,0,1
metanephros development,1,1,1,0,0,1
microtubule bundle formation,1,1,1,0,0,1
microtubule cytoskeleton organization,1,1,1,0,0,1
microtubule-based movement,1,1,1,0,0,1
midbody abscission,1,1,1,0,0,1
mismatch repair,1,1,1,0,0,1
mitochondrial citrate transmembrane transport,1,1,1,0,0,1
monoatomic ion transport,1,1,1,0,0,1
monocarboxylic acid transport,1,1,1,0,0,1
morphogenesis of an epithelium,1,1,1,0,0,1
motor behavior,1,1,1,0,0,1
multicellular organism growth,1,1,1,0,0,1
multicellular organismal-level water homeostasis,1,1,1,0,0,1
myelination,1,1,1,0,0,1
myelination in peripheral nervous system,1,1,1,0,0,1
myeloid cell differentiation,1,1,1,0,0,1
myeloid leukocyte differentiation,1,1,1,0,0,1
negative regulation by host of viral process,1,1,1,0,0,1
negative regulation of ATP-dependent activity,1,1,1,0,0,1
"negative regulation of CD4-positive, alpha-beta T cell differentiation",1,1,1,0,0,1
negative regulation of ERK1 and ERK2 cascade,1,1,1,0,0,1
negative regulation of T-helper 17 cell lineage commitment,1,1,1,0,0,1
negative regulation of amacrine cell differentiation,1,1,1,0,0,1
negative regulation of calcineurin-NFAT signaling cascade,1,1,1,0,0,1
negative regulation of cardiac muscle hypertrophy,1,1,1,0,0,1
negative regulation of cardiac myofibril assembly,1,1,1,0,0,1
negative regulation of cytokinesis,1,1,1,0,0,1
negative regulation of dendrite development,1,1,1,0,0,1
negative regulation of endodermal cell fate specification,1,1,1,0,0,1
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,1,1,1,0,0,1
negative regulation of fibroblast proliferation,1,1,1,0,0,1
negative regulation of gene expression,1,1,1,0,0,1
negative regulation of granulocyte differentiation,1,1,1,0,0,1
negative regulation of intrinsic apoptotic signaling pathway,1,1,1,0,0,1
negative regulation of lipopolysaccharide-mediated signaling pathway,1,1,1,0,0,1
negative regulation of non-canonical NF-kappaB signal transduction,1,1,1,0,0,1
negative regulation of organ growth,1,1,1,0,0,1
negative regulation of osteoblast differentiation,1,1,1,0,0,1
negative regulation of osteoclast development,1,1,1,0,0,1
negative regulation of peptidyl-threonine phosphorylation,1,1,1,0,0,1
negative regulation of protein catabolic process,1,1,1,0,0,1
negative regulation of protein-containing complex assembly,1,1,1,0,0,1
negative regulation of single-species biofilm formation in or on host organism,1,1,1,0,0,1
negative regulation of stem cell proliferation,1,1,1,0,0,1
negative regulation of synaptic assembly at neuromuscular junction,1,1,1,0,0,1
negative regulation of tumor necrosis factor (ligand) superfamily member 11 production,1,1,1,0,0,1
negative regulation of type B pancreatic cell proliferation,1,1,1,0,0,1
negative regulation of viral genome replication,1,1,1,0,0,1
negative regulation of viral process,1,1,1,0,0,1
nematode larval development,1,1,1,0,0,1
nephrogenic mesenchyme morphogenesis,1,1,1,0,0,1
neural crest cell migration,1,1,1,0,0,1
neuromuscular junction development,1,1,1,0,0,1
neuron cell-cell adhesion,1,1,1,0,0,1
neuron fate specification,1,1,1,0,0,1
neuron maturation,1,1,1,0,0,1
nucleotide-excision repair,1,1,1,0,0,1
olfactory nerve formation,1,1,1,0,0,1
olfactory placode morphogenesis,1,1,1,0,0,1
optic nerve development,1,1,1,0,0,1
organ growth,1,1,1,0,0,1
osteoblast development,1,1,1,0,0,1
osteoblast fate commitment,1,1,1,0,0,1
outflow tract septum morphogenesis,1,1,1,0,0,1
pectoral fin development,1,1,1,0,0,1
peptide hormone processing,1,1,1,0,0,1
peptidyl-lysine oxidation,1,1,1,0,0,1
perichondral bone morphogenesis,1,1,1,0,0,1
placenta development,1,1,1,0,0,1
podocyte differentiation,1,1,1,0,0,1
polysaccharide biosynthetic process,1,1,1,0,0,1
"positive regulation of CD8-positive, alpha-beta T cell differentiation",1,1,1,0,0,1
positive regulation of DNA endoreduplication,1,1,1,0,0,1
positive regulation of ERK1 and ERK2 cascade,1,1,1,0,0,1
positive regulation of NLRP3 inflammasome complex assembly,1,1,1,0,0,1
positive regulation of Rho protein signal transduction,1,1,1,0,0,1
"positive regulation of Wnt signaling pathway, planar cell polarity pathway",1,1,1,0,0,1
positive regulation of angiogenesis,1,1,1,0,0,1
positive regulation of bone mineralization involved in bone maturation,1,1,1,0,0,1
positive regulation of canonical Wnt signaling pathway,1,1,1,0,0,1
positive regulation of cardiac muscle cell apoptotic process,1,1,1,0,0,1
positive regulation of cartilage development,1,1,1,0,0,1
positive regulation of cell adhesion mediated by integrin,1,1,1,0,0,1
positive regulation of cell division,1,1,1,0,0,1
positive regulation of cell proliferation involved in heart valve morphogenesis,1,1,1,0,0,1
positive regulation of cell size,1,1,1,0,0,1
positive regulation of chemokine (C-C motif) ligand 5 production,1,1,1,0,0,1
positive regulation of chondrocyte proliferation,1,1,1,0,0,1
positive regulation of collagen biosynthetic process,1,1,1,0,0,1
positive regulation of erythrocyte differentiation,1,1,1,0,0,1
positive regulation of extracellular matrix organization,1,1,1,0,0,1
positive regulation of fibroblast apoptotic process,1,1,1,0,0,1
positive regulation of focal adhesion assembly,1,1,1,0,0,1
positive regulation of follicle-stimulating hormone secretion,1,1,1,0,0,1
positive regulation of granulocyte differentiation,1,1,1,0,0,1
positive regulation of insulin secretion,1,1,1,0,0,1
positive regulation of integrin activation,1,1,1,0,0,1
positive regulation of integrin-mediated signaling pathway,1,1,1,0,0,1
positive regulation of interferon-alpha production,1,1,1,0,0,1
positive regulation of interferon-beta production,1,1,1,0,0,1
positive regulation of interleukin-2 production,1,1,1,0,0,1
positive regulation of luteinizing hormone secretion,1,1,1,0,0,1
positive regulation of metanephric glomerulus development,1,1,1,0,0,1
positive regulation of mitochondrial translation,1,1,1,0,0,1
positive regulation of myelination,1,1,1,0,0,1
positive regulation of nematode larval development,1,1,1,0,0,1
positive regulation of neuron maturation,1,1,1,0,0,1
positive regulation of neuron projection development,1,1,1,0,0,1
positive regulation of non-canonical NF-kappaB signal transduction,1,1,1,0,0,1
positive regulation of osteoblast proliferation,1,1,1,0,0,1
positive regulation of protein K63-linked ubiquitination,1,1,1,0,0,1
positive regulation of protein localization to nucleus,1,1,1,0,0,1
positive regulation of protein neddylation,1,1,1,0,0,1
positive regulation of protein serine/threonine kinase activity,1,1,1,0,0,1
positive regulation of receptor internalization,1,1,1,0,0,1
positive regulation of receptor signaling pathway via STAT,1,1,1,0,0,1
positive regulation of stem cell differentiation,1,1,1,0,0,1
positive regulation of substrate adhesion-dependent cell spreading,1,1,1,0,0,1
positive regulation of toll-like receptor 4 signaling pathway,1,1,1,0,0,1
positive regulation of toll-like receptor 7 signaling pathway,1,1,1,0,0,1
positive regulation of toll-like receptor 8 signaling pathway,1,1,1,0,0,1
positive regulation of transforming growth factor beta receptor signaling pathway,1,1,1,0,0,1
positive regulation of translation,1,1,1,0,0,1
positive regulation of translation in response to endoplasmic reticulum stress,1,1,1,0,0,1
positive regulation of translational initiation,1,1,1,0,0,1
positive regulation of type I interferon production,1,1,1,0,0,1
positive regulation of viral genome replication,1,1,1,0,0,1
"positive regulation of wound healing, spreading of epidermal cells",1,1,1,0,0,1
post-anal tail morphogenesis,1,1,1,0,0,1
posterior lateral line development,1,1,1,0,0,1
protein N-linked glycosylation,1,1,1,0,0,1
protein N-linked glycosylation via asparagine,1,1,1,0,0,1
protein catabolic process,1,1,1,0,0,1
protein glycosylation,1,1,1,0,0,1
protein localization to cell junction,1,1,1,0,0,1
protein localization to cytoplasmic stress granule,1,1,1,0,0,1
protein localization to membrane,1,1,1,0,0,1
protein neddylation,1,1,1,0,0,1
protein processing,1,1,1,0,0,1
protein targeting to membrane,1,1,1,0,0,1
purine nucleoside catabolic process,1,1,1,0,0,1
regulation of G1/S transition of mitotic cell cycle,1,1,1,0,0,1
regulation of MAPK cascade,1,1,1,0,0,1
regulation of actin filament-based process,1,1,1,0,0,1
regulation of axonogenesis,1,1,1,0,0,1
regulation of blood pressure,1,1,1,0,0,1
regulation of cell shape,1,1,1,0,0,1
regulation of cellular localization,1,1,1,0,0,1
regulation of clathrin-dependent endocytosis,1,1,1,0,0,1
regulation of connective tissue replacement,1,1,1,0,0,1
regulation of cytokine production,1,1,1,0,0,1
regulation of developmental process,1,1,1,0,0,1
regulation of embryonic development,1,1,1,0,0,1
regulation of hair follicle development,1,1,1,0,0,1
regulation of inflammatory response,1,1,1,0,0,1
regulation of mitotic cell cycle,1,1,1,0,0,1
regulation of plasminogen activation,1,1,1,0,0,1
regulation of protein neddylation,1,1,1,0,0,1
regulation of receptor signaling pathway via JAK-STAT,1,1,1,0,0,1
regulation of skeletal muscle cell proliferation,1,1,1,0,0,1
regulation of small GTPase mediated signal transduction,1,1,1,0,0,1
regulation of stem cell division,1,1,1,0,0,1
"regulation of synaptic transmission, GABAergic",1,1,1,0,0,1
regulation of transcription regulatory region DNA binding,1,1,1,0,0,1
regulation of transforming growth factor beta2 production,1,1,1,0,0,1
regulation of tumor necrosis factor production,1,1,1,0,0,1
regulation of tumor necrosis factor-mediated signaling pathway,1,1,1,0,0,1
reproductive process,1,1,1,0,0,1
response to aluminum ion,1,1,1,0,0,1
response to heparin,1,1,1,0,0,1
response to hormone,1,1,1,0,0,1
response to leukemia inhibitory factor,1,1,1,0,0,1
response to light intensity,1,1,1,0,0,1
response to pain,1,1,1,0,0,1
response to transforming growth factor beta,1,1,1,0,0,1
retina development in camera-type eye,1,1,1,0,0,1
retinoid metabolic process,1,1,1,0,0,1
retinol metabolic process,1,1,1,0,0,1
secondary palate development,1,1,1,0,0,1
segment specification,1,1,1,0,0,1
seminiferous tubule development,1,1,1,0,0,1
single fertilization,1,1,1,0,0,1
skeletal muscle fiber development,1,1,1,0,0,1
skin morphogenesis,1,1,1,0,0,1
smoothened signaling pathway involved in lung development,1,1,1,0,0,1
social behavior,1,1,1,0,0,1
sodium ion homeostasis,1,1,1,0,0,1
sodium ion transport,1,1,1,0,0,1
somite development,1,1,1,0,0,1
somite rostral/caudal axis specification,1,1,1,0,0,1
spinal cord anterior/posterior patterning,1,1,1,0,0,1
stem cell differentiation,1,1,1,0,0,1
stem cell division,1,1,1,0,0,1
steroid metabolic process,1,1,1,0,0,1
stomach development,1,1,1,0,0,1
stress granule assembly,1,1,1,0,0,1
striated muscle cell differentiation,1,1,1,0,0,1
subtelomeric heterochromatin formation,1,1,1,0,0,1
sulfation,1,1,1,0,0,1
sweat gland development,1,1,1,0,0,1
"synaptic transmission, glutamatergic",1,1,1,0,0,1
telomere organization,1,1,1,0,0,1
tight junction organization,1,1,1,0,0,1
tissue development,1,1,1,0,0,1
toll-like receptor signaling pathway,1,1,1,0,0,1
transcription initiation-coupled chromatin remodeling,1,1,1,0,0,1
translational initiation,1,1,1,0,0,1
tricarboxylic acid metabolic process,1,1,1,0,0,1
trophoblast giant cell differentiation,1,1,1,0,0,1
type B pancreatic cell maturation,1,1,1,0,0,1
type B pancreatic cell proliferation,1,1,1,0,0,1
ureter maturation,1,1,1,0,0,1
uridine catabolic process,1,1,1,0,0,1
uterus development,1,1,1,0,0,1
vacuole organization,1,1,1,0,0,1
vasodilation,1,1,1,0,0,1
ventricular cardiac muscle cell development,1,1,1,0,0,1
vesicle budding from membrane,1,1,1,0,0,1
vesicle organization,1,1,1,0,0,1
vesicle transport along actin filament,1,1,1,0,0,1
viral protein processing,1,1,1,0,0,1
vocalization behavior,1,1,1,0,0,1
"wound healing, spreading of cells",1,1,1,0,0,1
