Coords	Name	MIRNA	1A11-fastp-adapters-polyG-31bp-merged_condensed	1A7-fastp-adapters-polyG-31bp-merged_condensed	1B3-fastp-adapters-polyG-31bp-merged_condensed	1B4-fastp-adapters-polyG-31bp-merged_condensed	1B6-fastp-adapters-polyG-31bp-merged_condensed	1B7-fastp-adapters-polyG-31bp-merged_condensed	1C11-fastp-adapters-polyG-31bp-merged_condensed	1C12-fastp-adapters-polyG-31bp-merged_condensed	1C5-fastp-adapters-polyG-31bp-merged_condensed	1C6-fastp-adapters-polyG-31bp-merged_condensed	1D12-fastp-adapters-polyG-31bp-merged_condensed	1D1-fastp-adapters-polyG-31bp-merged_condensed	1D2-fastp-adapters-polyG-31bp-merged_condensed	1D5-fastp-adapters-polyG-31bp-merged_condensed	1D7-fastp-adapters-polyG-31bp-merged_condensed	1E7-fastp-adapters-polyG-31bp-merged_condensed	1F10-fastp-adapters-polyG-31bp-merged_condensed	1F12-fastp-adapters-polyG-31bp-merged_condensed	1F1-fastp-adapters-polyG-31bp-merged_condensed	1F3-fastp-adapters-polyG-31bp-merged_condensed	1F6-fastp-adapters-polyG-31bp-merged_condensed	1F7-fastp-adapters-polyG-31bp-merged_condensed	1G10-fastp-adapters-polyG-31bp-merged_condensed	1G1-fastp-adapters-polyG-31bp-merged_condensed	1G3-fastp-adapters-polyG-31bp-merged_condensed	1H1-fastp-adapters-polyG-31bp-merged_condensed	1H2-fastp-adapters-polyG-31bp-merged_condensed	1H3-fastp-adapters-polyG-31bp-merged_condensed	2A3-fastp-adapters-polyG-31bp-merged_condensed	2B1-fastp-adapters-polyG-31bp-merged_condensed	2D1-fastp-adapters-polyG-31bp-merged_condensed	2D3-fastp-adapters-polyG-31bp-merged_condensed	2E1-fastp-adapters-polyG-31bp-merged_condensed	2E3-fastp-adapters-polyG-31bp-merged_condensed	2F2-fastp-adapters-polyG-31bp-merged_condensed	2H1-fastp-adapters-polyG-31bp-merged_condensed	2H2-fastp-adapters-polyG-31bp-merged_condensed
Porites_evermani_scaffold_368:270132-270556	Cluster_4430	N	2	4	0	14	18	0	0	3	20	0	0	0	9	21	61	0	6	12	0	48	87	4	19	44	9	1	3	0	0	7	74	0	227	0	0	0	32
Porites_evermani_scaffold_368:271452-271864	Cluster_4431	N	0	1	0	13	6	0	0	3	21	0	0	0	23	8	16	0	8	35	0	43	25	0	20	49	2	0	3	5	0	5	89	0	147	0	0	0	16
Porites_evermani_scaffold_368:271950-272371	Cluster_4432	N	0	0	0	11	2	0	0	0	8	0	0	1	1	3	14	2	1	9	0	24	11	0	28	6	0	13	2	0	0	5	32	0	355	0	0	0	16
Porites_evermani_scaffold_369:58181-58606	Cluster_4433	N	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	159	0	0	45	0	0	0	0	0	0	0	0	22	0	0	0	183
Porites_evermani_scaffold_370:24642-25430	Cluster_4434	N	1	1	0	550	0	0	0	32	40	0	0	14	1	5	837	1	0	1683	0	510	488	17	719	1926	45	55	0	0	0	880	498	0	0	0	0	0	0
Porites_evermani_scaffold_370:25840-26488	Cluster_4435	N	0	0	0	367	0	0	0	33	20	0	0	5	23	18	307	2	1	1487	2	546	1182	12	240	1237	35	56	0	0	0	692	245	0	4	0	0	0	5
Porites_evermani_scaffold_370:47774-49150	Cluster_4436	N	374	1451	0	2017	90	41	0	887	23811	2	25	2	38104	739	31	9	2048	33995	143	8893	2087	391	43	30726	0	6	119	36	0	4738	99	0	506	0	0	0	833
Porites_evermani_scaffold_370:50000-50427	Cluster_4437	N	7	0	0	17	0	0	0	2	55	0	0	0	152	12	10	0	6	134	0	53	8	0	17	136	0	0	2	0	0	56	3	0	6	0	0	0	18
Porites_evermani_scaffold_370:50591-51059	Cluster_4438	N	14	13	0	41	2	0	0	10	155	0	0	1	300	14	4	0	26	326	1	133	22	2	50	305	2	6	1	0	0	39	27	0	3	0	0	0	40
Porites_evermani_scaffold_370:55235-55842	Cluster_4439	N	74	7	0	83	10	0	0	10	165	0	0	2	319	62	56	0	43	511	0	250	57	7	53	246	0	7	0	0	0	212	12	0	83	0	0	0	189
Porites_evermani_scaffold_370:56326-56907	Cluster_4440	N	22	75	0	69	0	1	0	8	787	0	0	1	179	17	27	0	14	386	9	235	1	3	73	164	3	17	32	0	0	88	82	0	71	0	0	0	143
Porites_evermani_scaffold_370:57230-57659	Cluster_4441	N	92	293	0	765	1	0	0	87	839	0	1	8	165	38	547	1	26	3074	5	1092	23	67	404	51	65	40	25	13	0	1305	259	0	318	0	1	0	554
Porites_evermani_scaffold_370:57882-59493	Cluster_4442	N	294	282	0	2006	71	9	0	391	2658	1	11	51	8619	597	287	0	791	19286	17	3581	1066	151	409	3144	34	218	33	26	0	3716	1606	0	372	0	0	0	1593
Porites_evermani_scaffold_370:60858-61868	Cluster_4443	N	116	38	0	163	9	1	0	20	344	0	0	135	917	57	68	0	62	801	3	479	63	14	95	365	7	480	4	2	0	239	2697	0	84	0	0	0	189
Porites_evermani_scaffold_370:62291-64422	Cluster_4444	N	968	522	1	1364	105	4	0	255	7643	0	3	46	12312	934	755	2	1666	8981	25	3687	2401	104	1561	3964	35	254	42	24	0	2522	1340	0	480	0	1	0	1765
Porites_evermani_scaffold_370:64577-65504	Cluster_4445	N	178	239	0	831	70	3	0	97	2271	0	17	19	4242	548	240	2	755	3275	8	2159	616	63	265	1028	12	32	8	22	0	1895	402	0	71	0	0	0	543
Porites_evermani_scaffold_370:67157-68304	Cluster_4446	N	96	68	0	162	46	7	0	23	493	0	2	23	4726	285	113	8	255	359	3	1111	3242	31	134	349	14	12	6	11	0	244	74	0	57	0	0	0	332
Porites_evermani_scaffold_370:69372-70758	Cluster_4447	N	755	329	0	2578	201	24	0	82	1517	0	32	23	8968	2566	690	8	464	2753	13	11281	1174	393	779	942	82	95	29	172	0	3825	464	0	3040	0	9	0	7874
Porites_evermani_scaffold_370:70839-71267	Cluster_4448	N	28	16	0	40	4	0	0	1	54	0	1	0	341	31	27	0	19	135	1	123	84	3	23	100	0	3	0	6	0	66	16	0	29	0	0	0	58
Porites_evermani_scaffold_370:80710-82081	Cluster_4449	N	63	1525	0	3510	275	2	0	865	35475	5	30	66	1197	2276	1949	0	5111	32806	63	19	1504	1	3040	36756	125	280	79	0	0	6887	2277	0	318	0	0	0	766
Porites_evermani_scaffold_370:82528-84658	Cluster_4450	N	10	603	0	1370	155	0	0	315	11917	0	17	33	70	1004	1145	1	1385	16030	28	8	454	0	2116	19203	66	167	24	1	0	2495	917	0	30	0	0	0	59
Porites_evermani_scaffold_370:88585-90175	Cluster_4451	N	1224	280	0	663	34	7	0	304	7292	0	8	16	7119	245	305	7	771	15073	25	2253	1030	108	1377	7152	27	131	58	7	0	1499	396	0	230	0	1	0	716
Porites_evermani_scaffold_370:90187-91142	Cluster_4452	N	104	75	0	215	33	8	0	14	313	0	3	4	1214	148	122	0	111	550	4	818	283	10	129	598	8	17	6	1	0	339	154	0	179	0	0	0	390
Porites_evermani_scaffold_370:91176-92781	Cluster_4453	N	494	266	1	643	42	6	0	89	1981	0	5	28	6515	388	321	0	483	3518	8	1900	831	56	478	2914	7	18	17	19	0	1136	235	0	313	0	0	0	1058
Porites_evermani_scaffold_370:93343-94595	Cluster_4454	N	59	50	0	138	13	4	0	20	428	0	2	1	5731	146	67	4	212	666	2	378	362	27	85	667	0	5	0	5	0	198	68	0	68	0	0	0	131
Porites_evermani_scaffold_370:97130-97558	Cluster_4455	N	2	52	0	8	1	0	0	1	537	0	0	0	153	1	12	0	3	29	2	55	8	0	130	58	0	0	19	0	0	2	6	0	8	0	0	0	12
Porites_evermani_scaffold_370:99480-99896	Cluster_4456	N	26	8	0	24	0	0	0	7	114	0	0	0	335	13	12	0	4	89	1	66	5	0	13	92	0	9	0	0	0	36	1	0	20	0	0	0	53
Porites_evermani_scaffold_370:100208-101064	Cluster_4457	N	33	12	0	1175	137	7	0	433	150	0	20	0	14537	1330	13	0	2274	15542	3	79	105	1	23	198	0	2	0	0	0	2555	0	0	13	0	0	0	84
Porites_evermani_scaffold_370:101318-101764	Cluster_4458	N	2	0	0	80	10	0	0	2	1	0	1	0	1457	128	1	0	82	229	0	0	4	0	2	8	0	0	0	0	0	127	0	0	0	0	0	0	1
Porites_evermani_scaffold_370:277429-277858	Cluster_4459	N	22	101	0	11	1	0	0	3	121	0	0	9	82	8	12	0	4	73	5	157	120	5	11	423	0	28	4	1	0	19	166	0	38	0	0	0	164
Porites_evermani_scaffold_371:55183-55593	Cluster_4460	N	0	17	0	3	6	0	0	2	9	1	0	78	8	6	11	0	3	8	0	70	12	11	49	6	3	19	0	4	0	1	35	0	106	0	5	0	26
Porites_evermani_scaffold_371:119782-120272	Cluster_4461	N	0	0	0	26	0	0	0	6	172	0	0	0	4	3	0	0	0	666	0	265	0	9	0	327	0	16	0	0	0	29	8	0	8	0	0	0	0
Porites_evermani_scaffold_371:193361-193766	Cluster_4462	N	0	3	0	20	2	0	0	3	15	0	0	0	68	9	2	0	9	72	0	36	36	4	5	221	1	2	0	2	0	43	7	0	0	0	0	0	0
Porites_evermani_scaffold_371:193904-194333	Cluster_4463	N	0	9	0	1	1	0	0	0	22	0	0	2	0	66	7	0	946	3778	1	0	485	6	2	34	0	2	0	5	0	0	30	0	0	0	0	0	0
Porites_evermani_scaffold_372:64963-65391	Cluster_4464	N	2	6	0	58	9	0	0	7	9	0	0	1	6	86	68	0	2	380	0	1	310	0	112	8	3	0	0	0	0	135	4	0	9	0	0	0	7
Porites_evermani_scaffold_372:107332-108388	Cluster_4465	N	57	27	0	86	12	3	0	18	337	0	1	2	1165	93	101	0	148	725	2	336	28	11	139	470	12	22	0	1	0	182	96	0	50	0	0	0	144
Porites_evermani_scaffold_372:108616-110294	Cluster_4466	N	171	189	0	826	113	5	0	120	1587	0	17	24	4557	931	457	0	676	5520	12	4580	58	134	810	1031	39	158	9	21	0	1617	826	0	545	0	0	0	1210
Porites_evermani_scaffold_372:110640-111050	Cluster_4467	N	9	13	0	22	4	1	0	2	145	0	0	2	328	21	21	0	35	186	0	66	32	1	32	83	2	1	0	0	0	50	21	0	15	0	0	0	40
Porites_evermani_scaffold_372:111297-111725	Cluster_4468	N	15	37	0	47	6	0	0	3	135	0	1	1	286	81	64	0	29	160	2	270	45	7	34	58	2	4	1	2	0	77	55	0	28	0	0	0	93
Porites_evermani_scaffold_372:111788-112212	Cluster_4469	N	12	14	0	13	6	0	0	1	88	0	1	0	180	44	27	0	29	116	0	151	14	8	15	47	2	5	1	0	0	22	35	0	76	0	0	0	34
Porites_evermani_scaffold_372:223875-224281	Cluster_4470	N	5	12	0	11	3	0	0	2	69	0	0	0	73	13	23	0	8	40	0	44	17	1	16	24	1	1	1	0	0	26	10	0	6	0	0	0	10
Porites_evermani_scaffold_372:229087-229508	Cluster_4471	N	7	6	0	8	6	0	0	2	27	1	0	3	10	15	12	0	3	28	1	42	15	1	2	28	0	3	0	5	0	16	16	0	42	0	0	0	38
Porites_evermani_scaffold_372:287240-287716	Cluster_4472	N	20	113	0	85	115	0	0	4	177	3	1	78	243	205	150	2	78	234	4	437	225	104	484	352	13	22	2	60	0	42	178	0	451	0	6	0	115
Porites_evermani_scaffold_372:287901-288336	Cluster_4473	N	6	209	0	322	367	10	0	25	225	20	10	426	418	606	847	6	64	665	10	557	523	122	1029	425	143	30	62	434	0	199	1206	0	2436	0	20	0	955
Porites_evermani_scaffold_373:138607-139035	Cluster_4474	N	2	0	0	2	0	0	0	0	119	0	0	1	366	2	6	0	4	0	0	3	0	0	2	1	2	0	0	0	0	4	2	0	6	0	0	0	25
Porites_evermani_scaffold_374:113336-113764	Cluster_4475	N	0	78	0	2	1	0	0	1	443	0	0	0	0	5	2	0	2	0	4	11	1	0	1	0	1	1	1	0	0	0	9	0	0	0	0	0	1
Porites_evermani_scaffold_374:201400-201819	Cluster_4476	N	0	10	0	0	23	0	0	0	8	0	0	0	0	12	5	0	0	1	0	165	6	73	67	16	3	0	0	63	0	0	0	0	231	0	1	0	20
Porites_evermani_scaffold_374:208764-209173	Cluster_4477	N	0	14	0	5	7	0	0	0	10	0	0	1	0	12	18	0	3	8	0	0	21	0	0	10	6	2	0	0	0	0	0	0	29	0	0	0	302
Porites_evermani_scaffold_374:286931-287393	Cluster_4478	N	2	88	0	103	196	0	0	14	83	6	4	142	170	290	69	5	74	167	0	181	429	22	324	267	19	16	6	47	0	44	178	0	267	0	7	0	134
Porites_evermani_scaffold_375:49946-50575	Cluster_4479	N	1346	811	0	497	350	8	0	96	350	7	13	1079	1404	5286	486	23	728	1214	27	309	150	102	1758	226	115	257	56	68	0	710	1606	0	623	0	18	0	973
Porites_evermani_scaffold_375:64884-65313	Cluster_4480	N	29	46	0	263	6	1	0	4	102	0	0	0	308	99	0	0	66	0	4	223	424	5	48	733	0	4	0	0	0	421	41	0	44	0	0	0	220
Porites_evermani_scaffold_375:164289-164712	Cluster_4481	N	6	42	0	30	23	0	0	3	13	0	0	1	12	26	94	0	6	6	6	169	9	18	40	25	8	9	8	22	1	8	13	0	1	0	1	0	21
Porites_evermani_scaffold_375:233325-234822	Cluster_4482	N	16	3	0	26	6	5	0	10	151	0	1	7	5922	65	39	4	58	359	3	1118	1713	36	50	252	0	12	1	9	0	94	55	0	5	0	1	0	91
Porites_evermani_scaffold_375:259171-259590	Cluster_4483	N	6	11	0	2	1	0	0	1	153	0	0	0	180	11	7	0	12	38	0	52	16	3	24	73	2	0	1	1	0	5	0	0	17	0	0	0	16
Porites_evermani_scaffold_376:176402-176828	Cluster_4484	N	7	1	0	18	1	0	0	1	19	0	0	0	33	8	0	0	0	301	0	0	0	0	2	41	0	0	2	0	0	11	0	0	1	0	0	0	21
Porites_evermani_scaffold_376:232546-232975	Cluster_4485	N	44	19	0	8	4	1	0	4	280	0	0	0	440	10	24	0	3	30	4	67	28	17	60	195	0	10	6	13	0	15	17	0	16	0	0	0	14
Porites_evermani_scaffold_376:234990-235572	Cluster_4486	N	57	29	0	44	9	1	0	3	266	0	2	6	583	70	87	0	73	207	2	283	217	10	127	301	5	6	5	5	0	80	63	0	36	0	1	0	194
Porites_evermani_scaffold_376:235615-236360	Cluster_4487	N	114	43	0	74	23	1	0	15	446	0	0	0	1782	88	154	0	178	395	3	93	341	3	422	730	19	14	2	2	0	131	63	0	27	0	0	0	301
Porites_evermani_scaffold_376:236493-237366	Cluster_4488	N	66	19	0	33	10	3	0	3	298	0	1	5	901	81	94	1	173	172	1	144	240	2	196	480	3	10	2	0	0	56	36	0	18	0	0	0	185
Porites_evermani_scaffold_376:238568-239069	Cluster_4489	N	43	41	0	10	7	0	0	4	333	0	1	0	789	76	11	0	122	49	0	210	44	2	80	694	2	9	0	12	0	4	14	0	22	0	0	0	203
Porites_evermani_scaffold_377:149397-150079	Cluster_4490	N	17	39	0	8	4	0	0	2	256	0	0	0	668	3	4	0	1	253	0	171	1	12	1	4	1	2	0	0	0	64	50	0	72	0	2	0	77
Porites_evermani_scaffold_378:41919-42422	Cluster_4491	N	5	30	0	56	8	2	0	7	107	0	0	3	121	25	27	0	27	213	2	108	75	7	34	124	4	8	1	1	0	101	23	0	24	0	0	0	19
Porites_evermani_scaffold_380:95562-95994	Cluster_4492	N	0	84	0	0	0	4	0	0	0	2	3	0	0	4219	0	3	0	1411	0	0	292	0	0	127	0	0	18	42	2	0	0	2	0	0	5	3	0
Porites_evermani_scaffold_380:112217-112646	Cluster_4493	N	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	19	44	2	153	0	2	0	0	2	0	243
Porites_evermani_scaffold_380:114434-114862	Cluster_4494	N	2	6	0	15	4	0	0	9	82	0	0	56	90	36	20	0	4	54	1	47	18	1	81	27	2	0	0	1	4	20	6	1	10	0	0	0	21
Porites_evermani_scaffold_380:197350-197778	Cluster_4495	N	14	42	0	0	0	7	0	0	75	0	1	0	375	6	22	0	3	14	3	648	21	7	22	44	6	0	1	11	0	6	0	0	47	0	0	0	135
Porites_evermani_scaffold_380:221988-222791	Cluster_4496	N	9	8	0	6	2	5	0	1	36	0	0	1	116	6	85	0	3	43	0	51	6	0	280	44	6	14	0	0	0	17	52	0	0	0	0	0	31
Porites_evermani_scaffold_381:14394-14821	Cluster_4497	N	1	6	0	0	18	1	0	5	0	0	1	6	69	119	22	1	38	130	1	22	247	1	13	676	3	7	1	1	0	116	42	0	16	0	0	0	14
Porites_evermani_scaffold_381:61894-62353	Cluster_4498	N	0	27	0	17	16	0	0	0	28	0	0	26	2	515	25	0	0	52	0	9	2	12	115	42	0	1	0	0	0	75	99	0	161	0	0	0	53
Porites_evermani_scaffold_381:175995-176424	Cluster_4499	N	55	3	0	1	3	0	0	0	0	0	0	8	3	1	4	0	29	55	0	1	1	1	70	0	1	2	0	0	0	5	0	0	1	0	0	0	303
Porites_evermani_scaffold_381:275086-275757	Cluster_4500	N	2	123	0	41	0	0	0	0	1600	0	0	6	0	76	8	1	37	17	2	443	399	16	6	0	2	19	7	5	0	64	168	0	6	0	0	0	5
Porites_evermani_scaffold_381:276706-277652	Cluster_4501	N	3	942	0	632	6	0	0	15	11887	0	1	9	2	109	45	2	11	505	48	1608	988	15	19	1	6	49	94	0	0	213	1366	0	11	0	0	0	34
Porites_evermani_scaffold_383:40764-41180	Cluster_4502	N	0	104	0	735	0	0	0	0	6	0	1	5	0	8	0	0	1	0	2	3	0	0	0	0	1	12	7	0	0	0	2	0	0	0	0	0	0
Porites_evermani_scaffold_384:122415-122833	Cluster_4503	N	0	31	0	11	14	0	0	1	10	1	0	1	17	23	19	1	1	26	0	188	6	7	52	45	7	4	3	3	0	7	22	0	81	0	0	0	16
Porites_evermani_scaffold_384:174486-174901	Cluster_4504	N	5	15	0	6	0	0	0	2	13	0	0	25	7	20	7	0	6	18	0	64	1	4	1	30	1	0	0	8	0	3	21	0	125	0	2	0	9
Porites_evermani_scaffold_384:220613-221033	Cluster_4505	N	3	28	0	19	3	0	0	1	91	0	0	1	43	39	18	1	17	29	1	110	31	3	16	63	1	6	1	1	0	23	37	0	5	0	0	0	10
Porites_evermani_scaffold_384:221321-221759	Cluster_4506	N	560	118	1	33	0	0	0	53	131	0	0	0	115	11	27	0	23	1994	1	1227	273	55	21	14	4	2	7	12	0	320	11	0	211	0	0	0	580
Porites_evermani_scaffold_384:222216-222781	Cluster_4507	N	0	210	0	11	9	9	0	7	1419	0	2	10	3717	110	130	3	106	139	13	0	564	1	90	1544	7	23	7	0	0	51	129	0	0	0	0	0	1
Porites_evermani_scaffold_385:97168-97591	Cluster_4508	N	0	68	0	1	14	1	0	0	159	0	0	98	130	75	57	1	10	39	0	360	194	31	19	82	0	19	0	0	0	0	140	0	5	0	0	0	121
Porites_evermani_scaffold_385:183465-183893	Cluster_4509	N	3	10	0	5	0	0	0	5	1950	0	0	2	15	1	0	0	2	79	4	3	3	1	3	86	0	5	1	0	0	6	7	0	0	0	0	0	5
Porites_evermani_scaffold_386:1-255	Cluster_4510	N	2	2	0	29	1	0	0	28	49	0	0	0	34	22	4	0	4	780	0	36	10	0	9	50	1	0	0	0	0	128	23	0	0	0	0	0	19
Porites_evermani_scaffold_386:539-1118	Cluster_4511	N	59	30	0	33	12	2	0	0	231	0	1	0	278	96	67	0	81	96	0	186	105	17	68	412	0	0	1	0	0	43	1	0	84	0	0	0	152
Porites_evermani_scaffold_386:1593-2020	Cluster_4512	N	8	3	0	4	0	0	0	0	30	0	0	0	12	6	4	0	35	29	1	8	15	0	10	206	0	0	0	0	0	8	0	0	9	0	0	0	5
Porites_evermani_scaffold_386:2120-2546	Cluster_4513	N	6	13	0	11	0	0	0	6	128	0	0	0	263	30	9	0	29	98	0	120	18	5	15	269	3	1	0	0	0	15	40	0	2	0	0	0	21
Porites_evermani_scaffold_386:4089-5058	Cluster_4514	N	333	515	0	591	58	1	0	91	3200	0	4	1	2690	360	827	0	510	2506	8	2013	1124	60	606	2917	20	4	18	13	0	1046	9	0	692	0	0	0	1422
Porites_evermani_scaffold_386:5165-5589	Cluster_4515	N	3	30	0	26	12	0	0	0	55	1	0	0	97	53	44	0	12	25	2	26	133	0	41	246	9	0	10	1	0	58	2	0	6	0	1	0	25
Porites_evermani_scaffold_386:6314-6750	Cluster_4516	N	33	21	0	117	25	1	0	10	37	0	3	3	466	61	141	2	43	111	5	259	11	22	80	177	9	16	4	5	0	208	24	0	67	0	0	0	228
Porites_evermani_scaffold_386:7379-7975	Cluster_4517	N	45	19	1	115	23	1	0	12	109	0	0	2	1478	100	207	1	107	110	2	581	72	21	87	704	10	18	5	7	0	278	28	0	73	0	0	0	220
Porites_evermani_scaffold_386:114125-114536	Cluster_4518	N	3	0	0	7	1	0	0	4	63	0	0	0	70	6	3	0	12	68	0	70	33	0	21	84	1	0	1	0	0	20	0	0	8	0	0	0	70
Porites_evermani_scaffold_386:118225-118654	Cluster_4519	N	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	1	2	0	0	0	1	0	1378	0	0	0	0	0	0	0	0	0	0	0	0	0
Porites_evermani_scaffold_386:154210-154829	Cluster_4520	N	38	75	0	277	56	4	0	52	166	1	4	207	567	367	341	6	115	656	14	437	205	50	610	99	64	151	19	9	0	366	459	0	125	0	2	1	167
Porites_evermani_scaffold_386:162857-163476	Cluster_4521	N	39	74	0	271	56	3	0	52	175	1	4	195	556	365	340	7	109	647	18	440	202	46	605	111	68	156	17	10	0	383	458	0	127	0	1	2	178
Porites_evermani_scaffold_386:268417-268846	Cluster_4522	N	5	10	0	41	0	0	0	19	259	0	0	0	126	8	5	0	3	131	1	17	21	0	9	29	0	0	0	0	0	93	0	0	0	0	0	0	8
Porites_evermani_scaffold_386:270745-271453	Cluster_4523	N	24	20	0	119	0	0	0	15	306	1	1	3	1075	173	55	0	293	642	1	118	311	0	47	280	0	0	1	0	0	229	32	0	20	0	0	0	43
Porites_evermani_scaffold_386:281088-281493	Cluster_4524	N	16	9	0	51	3	0	0	2	80	0	0	2	171	11	14	0	18	181	0	63	36	7	26	118	5	0	2	2	0	73	13	0	17	0	0	0	24
Porites_evermani_scaffold_386:282514-283246	Cluster_4525	N	228	415	0	545	41	7	0	73	2560	0	3	0	2804	201	5	2	175	3082	14	12	1084	8	5	1574	0	2	23	0	0	1616	1	0	205	0	0	0	805
Porites_evermani_scaffold_386:284137-284705	Cluster_4526	N	41	22	0	78	4	0	0	17	242	0	0	0	635	60	0	1	52	421	1	1	145	1	0	289	0	0	1	0	0	131	0	0	7	0	0	0	72
Porites_evermani_scaffold_386:285403-285845	Cluster_4527	N	74	26	0	40	3	0	0	7	165	0	0	3	387	40	3	0	81	321	0	3	59	0	1	226	0	0	0	1	0	88	0	0	2	0	0	0	62
Porites_evermani_scaffold_387:78911-79335	Cluster_4528	N	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	59	0	22	1	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0
Porites_evermani_scaffold_387:221936-222354	Cluster_4529	N	7	13	0	53	4	0	0	1	37	0	0	4	2	2	0	0	1	253	0	29	171	12	0	35	1	0	0	2	0	35	8	0	84	0	0	0	12
Porites_evermani_scaffold_387:222408-222814	Cluster_4530	N	1	27	0	5	0	0	0	0	27	1	0	9	6	4	27	3	7	48	1	10	7	1	9	226	1	6	2	0	0	8	7	0	69	0	0	0	10
Porites_evermani_scaffold_388:193354-193762	Cluster_4531	N	6	7	0	8	0	0	0	1	40	0	0	1	6	7	2	0	0	42	0	37	99	4	0	97	1	0	0	1	0	18	5	0	42	0	0	0	2
Porites_evermani_scaffold_388:193944-195248	Cluster_4532	N	342	478	0	677	51	1	0	54	3832	1	3	20	2514	439	150	6	355	1878	11	2369	3251	88	145	8329	13	70	22	15	0	826	415	0	591	0	1	0	1765
Porites_evermani_scaffold_389:135368-135783	Cluster_4533	N	1	10	0	0	0	0	0	1	338	0	0	0	349	23	5	0	17	153	0	7	0	1	15	67	0	0	0	0	4	6	4	29	0	0	0	0	0
Porites_evermani_scaffold_389:178731-179372	Cluster_4534	N	1	6	0	55	42	1	0	5	17	0	6	20	115	239	4	2	132	151	0	942	590	62	4	446	1	38	1	16	0	76	198	0	27	0	0	0	16
Porites_evermani_scaffold_390:113090-113520	Cluster_4535	N	0	0	0	54	0	0	0	4	3	0	0	5	129	0	0	0	1	94	1	18	0	2	0	419	0	2	0	0	0	142	34	0	1	0	0	0	1
Porites_evermani_scaffold_390:200410-200839	Cluster_4536	N	21	0	0	0	0	0	0	0	0	0	1	0	1	339	2	0	50	18	0	11	1	1	1	0	0	0	0	0	0	2	1	0	21	0	0	0	4
Porites_evermani_scaffold_390:253139-253713	Cluster_4537	N	0	31	0	25	2	0	0	39	117	0	0	0	345	1	28	0	110	790	0	27	25	4	81	24	1	3	2	0	0	137	94	0	1	0	0	0	17
Porites_evermani_scaffold_391:8135-8560	Cluster_4538	N	9	6	0	38	1	0	0	2	94	0	0	1	296	16	18	0	22	154	1	45	42	0	22	94	3	1	1	0	0	68	17	0	3	0	0	0	23
Porites_evermani_scaffold_392:178788-179269	Cluster_4539	N	0	17	0	24	0	0	0	1	80	0	1	4	60	1	16	0	0	160	0	154	28	0	8	34	0	16	0	1	0	25	135	0	34	0	0	0	28
Porites_evermani_scaffold_392:216974-217403	Cluster_4540	N	14	37	0	47	37	0	0	3	79	0	0	11	132	263	43	2	78	86	0	61	43	15	90	309	1	41	0	3	0	167	660	0	30	0	0	0	92
Porites_evermani_scaffold_392:253432-253935	Cluster_4541	N	38	47	0	46	8	5	0	6	99	0	3	3	115	34	33	6	24	135	1	18	15	14	11	93	15	7	6	3	0	77	63	0	32	0	2	0	308
Porites_evermani_scaffold_393:254236-254663	Cluster_4542	N	0	1	0	7	2	0	0	0	0	0	0	0	93	10	11	0	3	5	0	2	1	0	7	617	0	0	0	0	0	1	3	0	4	0	0	0	6
Porites_evermani_scaffold_393:256592-257008	Cluster_4543	N	2	1	0	0	0	2	0	1	0	0	0	0	50	7	12	0	2	0	0	127	0	4	6	0	0	0	0	1	0	0	0	0	42	0	0	0	82
Porites_evermani_scaffold_394:35820-36247	Cluster_4544	N	3	0	0	3	4	0	0	1	0	0	1	0	877	120	0	0	1	105	0	7	1	0	0	0	0	0	0	1	0	7	0	0	8	0	0	0	5
Porites_evermani_scaffold_394:61491-61918	Cluster_4545	N	1	12	0	15	5	0	0	1	44	0	0	0	154	25	0	0	47	90	0	3	24	0	6	35	0	1	0	0	0	33	18	0	2	0	0	0	0
Porites_evermani_scaffold_394:63851-64278	Cluster_4546	N	2	0	0	0	0	0	0	0	0	0	0	7	166	1	70	0	0	0	0	6	5	0	0	392	0	2	0	0	0	0	29	0	25	0	1	0	60
Porites_evermani_scaffold_394:70374-70800	Cluster_4547	N	5	7	0	5	0	0	0	1	34	0	0	0	2	4	1	0	0	27	0	34	83	2	0	0	0	1	0	1	0	14	2	0	43	0	0	0	218
Porites_evermani_scaffold_394:86983-87412	Cluster_4548	N	10	1	0	1	0	0	0	11	22	0	0	0	92	1	0	0	23	141	0	4	1	0	7	136	0	0	0	0	0	4	0	0	0	0	0	0	1
Porites_evermani_scaffold_394:90170-90597	Cluster_4549	N	10	0	0	42	2	1	0	5	1	0	0	2	1	30	2	1	8	49	2	3	193	3	18	51	2	16	1	0	0	0	54	0	26	0	0	0	11
Porites_evermani_scaffold_394:120148-120573	Cluster_4550	N	76	5	0	2	1	0	0	2	8	0	1	0	81	7	9	0	4	1	1	3	54	1	18	61	2	4	0	0	0	4	2	0	6	0	0	0	5
Porites_evermani_scaffold_394:129131-129554	Cluster_4551	N	0	0	0	1	0	0	0	0	7	0	0	0	3	2	36	0	1	19	0	4	3	0	48	451	0	0	0	0	0	4	0	0	0	0	0	0	1
